,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT
5851,F,10,5,,,,,,,,,,,468363.169,0.883,1940.0,59.779,1.021,22.621,19.57,24.008,251.18,1864.651,9633.114,13945015.285,1447.612,0.59,97.025,3,175.607,19.57,24.008,0.869,75.275,0,1,7,41,30.315,10925.211,0.976,9.0,62865.669,247.061,585326.971,1.124,52976.991,30.0
5852,F,10,6,,,,,,,,,,,396988.434,0.793,1581.0,62.931,1.229,24.304,16.589,15.98,250.018,1587.839,11832.879,29539345.85,2496.379,0.282,175.576,3,333.723,16.589,15.98,0.978,149.834,0,1,7,41,256.039,111314.132,0.924,76.0,492915.117,498.346,1835604.768,1.042,164420.9,80.0
5853,F,10,7,,,,,,,,,,,304084.677,0.93,1603.0,50.894,0.915,17.247,17.92,17.078,191.607,1587.026,9480.46,14093543.48,1486.589,0.488,127.467,4,195.597,17.92,17.078,0.986,76.142,0,0,7,41,27.674,10893.175,0.819,11.0,27947.421,243.258,631596.802,1.084,29246.604,16.0
5854,F,10,8,,,,,,,,,,,306149.993,0.838,1191.0,62.477,1.021,21.502,15.692,16.436,260.158,1176.784,7772.92,25304873.047,3255.517,0.218,243.943,4,433.518,15.692,16.436,1.376,192.03,0,2,7,41,61.897,20926.365,1.036,21.0,86490.744,323.006,732456.036,1.131,117172.387,67.0
5855,F,10,9,,,,,,,,,,,547193.133,0.948,2560.0,52.585,0.974,18.035,17.436,18.873,208.613,2623.012,11260.026,15575833.238,1383.286,0.399,124.192,4,208.657,17.436,18.873,1.277,73.883,0,2,7,41,109.746,74877.782,0.91,55.0,155680.382,417.753,1976991.021,1.111,54656.222,26.0
5856,F,10,10,,,,,,,,,,,366664.837,0.888,1422.5,61.283,1.03,23.182,22.952,24.738,265.334,1381.899,8063.049,17276174.186,2142.635,0.399,174.544,5,259.736,22.952,24.738,0.928,92.365,0,3,7,41,187.487,43542.599,0.878,30.0,307775.058,466.658,1356991.807,1.091,29808.944,17.0
5857,F,10,11,,,,,,,,,,,233433.59,0.563,1195.0,65.529,1.385,21.876,22.315,25.317,192.452,1212.947,19047.892,24686795.497,1296.038,0.633,112.485,6,160.409,22.315,25.317,1.378,61.853,0,0,7,41,108.69,67104.825,0.98,74.0,100536.651,370.961,879926.592,1.081,200653.221,101.0
5858,F,10,12,,,,,,,,,,,262799.153,0.852,1082.0,60.179,1.077,23.182,29.803,36.085,245.582,1070.108,8115.39,18173516.172,2239.389,0.64,186.295,7,209.616,29.803,36.085,0.965,72.91,0,1,7,41,20.386,10361.85,0.939,12.0,17790.263,202.697,440024.295,1.165,42723.453,25.0
5859,F,10,13,,,,,,,,,,,347001.075,0.775,1502.0,62.009,1.226,25.154,17.518,19.062,237.237,1462.675,5082.519,6093237.256,1198.862,0.558,90.444,3,164.243,17.518,19.062,0.911,70.491,0,1,7,41,80.171,21719.799,0.917,23.0,84248.292,244.103,602868.695,1.03,63514.459,35.0
5860,F,10,14,,,,,,,,,,,394867.663,0.941,2005.0,50.247,0.962,18.606,17.98,18.192,189.072,2088.456,9215.479,12338812.34,1338.923,0.459,121.556,4,191.502,17.98,18.192,0.919,82.607,0,0,7,41,88.198,42780.512,0.922,52.0,74276.825,133.301,405194.14,0.894,118419.614,54.0
5861,F,10,1,,,,,,,,,,,221534.649,0.774,938.0,62.32,1.185,24.89,10.552,7.779,239.244,925.977,10172.582,14134982.585,1389.518,0.207,147.429,3,290.159,10.552,7.779,1.582,129.237,0,1,8,41,47.426,13105.183,0.843,19.0,31602.946,7.711,18036.479,0.99,20522.503,9.0
5862,F,10,2,,,,,,,,,,,854483.366,0.908,3200.0,60.008,0.975,22.014,10.032,8.565,260.158,3284.475,16675.041,18606665.445,1115.839,0.221,136.278,4,252.134,10.032,8.565,1.043,112.302,0,0,8,41,141.962,77958.875,0.847,47.0,254474.3,331.562,1318305.965,0.981,33277.828,12.0
5863,F,10,3,,,,,,,,,,,271372.018,0.81,1616.0,51.296,1.087,19.36,13.735,14.983,169.636,1599.729,10775.495,11684543.214,1084.363,0.373,108.013,3,191.163,13.735,14.983,0.989,85.165,0,1,8,41,145.659,55866.577,0.91,45.0,226447.553,237.026,1010871.974,0.918,85105.144,27.0
5864,F,10,4,,,,,,,,,,,513076.697,0.871,2088.5,60.402,1.057,23.284,13.756,12.318,252.87,2029.013,12176.648,22171132.239,1820.791,0.276,158.467,3,287.993,13.756,12.318,0.995,129.278,0,1,8,41,60.63,40576.703,0.967,34.0,73837.63,189.072,592800.158,1.044,62466.703,25.0
5865,F,10,5,,,,,,,,,,,282587.343,0.77,1450.0,56.383,1.153,20.698,20.605,18.896,194.881,1450.05,6701.34,10561675.901,1576.054,0.563,108.41,3,187.516,20.605,18.896,0.818,75.178,0,1,8,41,121.682,56833.08,0.922,55.0,131783.635,227.731,1293789.401,0.939,125849.974,39.0
5866,F,10,6,,,,,,,,,,,295535.472,0.856,1250.0,59.356,1.08,22.896,12.511,11.776,239.984,1231.482,12670.127,43050505.221,3397.796,0.132,289.077,2,567.962,12.511,11.776,1.028,270.207,0,0,8,41,654.885,172561.547,0.826,86.0,1891107.313,360.609,1314429.363,0.952,277223.413,97.0
5867,F,10,7,,,,,,,,,,,479774.325,0.828,4804.0,37.061,0.877,13.396,20.879,22.998,90.522,5300.086,30689.169,31333228.751,1020.987,0.692,94.253,4,136.145,20.879,22.998,1.111,53.769,0,2,8,41,35.596,41197.738,0.971,22.0,62537.17,501.409,2776913.714,1.259,16912.656,6.0
5868,F,10,8,,,,,,,,,,,401457.917,0.907,2057.0,51.946,1.023,19.263,8.733,7.351,194.67,2062.251,11776.236,18008945.94,1529.262,0.127,197.915,3,388.974,8.733,7.351,1.263,167.789,0,1,8,41,140.589,65966.44,0.855,57.0,168120.025,247.166,1348861.728,1.06,123347.886,33.0
5869,F,10,9,,,,,,,,,,,305851.282,0.882,1046.0,64.444,1.03,21.904,26.098,27.531,291.635,1048.747,8630.197,29602593.042,3430.118,0.297,314.435,11,380.982,26.098,27.531,0.773,106.844,0,5,8,41,314.662,124416.801,0.944,121.0,413150.991,350.892,1402380.712,0.944,432662.897,129.0
5870,F,10,10,,,,,,,,,,,725285.998,0.833,3067.0,58.226,0.968,21.016,15.161,10.576,224.668,3228.26,22216.559,25602052.386,1152.386,0.371,105.481,3,197.694,15.161,10.576,1.39,83.447,0,1,8,41,109.535,64913.396,0.916,56.0,124145.143,535.632,2511208.034,0.962,73867.129,27.0
