,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT
5197,F,8,1,31.477,553102.455,0.864,17.0,1093678.886,187.698,151143.192,1.202,48253.113,75.0,274778.581,0.924,1246.0,55.246,1.024,21.206,22.75,23.746,224.456,1224.195,7739.355,19613019.875,2534.193,0.366,160.543,4,295.156,22.75,23.746,0.795,106.985,0,2,10,43,,,,,,,,,,
5198,F,8,2,259.208,3788089.011,0.862,86.0,11927941.088,796.424,787880.101,1.218,46122.104,69.0,495182.181,0.808,1961.0,61.979,0.985,22.019,13.332,12.633,246.955,2005.152,19441.839,37923370.535,1950.606,0.232,162.158,3,324.72,13.332,12.633,1.862,146.89,0,1,10,43,,,,,,,,,,
5199,F,8,3,165.517,2163770.004,0.846,49.0,7350846.065,475.003,505512.144,1.145,41673.22,62.0,569254.302,0.693,2995.5,58.857,1.33,24.781,11.341,11.127,190.973,2980.813,15508.71,26875193.902,1732.91,0.152,209.714,5,378.046,11.341,11.127,1.304,155.171,0,3,10,43,,,,,,,,,,
5200,F,8,4,62.953,1055740.09,0.906,29.0,2336607.607,467.398,392544.406,1.227,68699.53,106.0,302537.67,0.958,1083.5,60.627,0.973,21.141,32.577,34.496,280.122,1080.022,11659.542,30126360.734,2583.838,0.666,172.455,5,220.734,32.577,34.496,0.903,74.009,0,1,10,43,,,,,,,,,,
5201,F,8,5,58.095,758771.975,0.762,19.0,2451107.036,288.994,254152.772,1.07,33498.222,50.0,441654.536,0.949,1765.0,57.987,0.947,19.785,13.975,10.741,253.821,1740.026,11497.232,19374751.018,1685.167,0.293,133.158,2,269.001,13.975,10.741,0.996,122.924,0,0,10,43,,,,,,,,,,
5202,F,8,6,143.018,2197709.444,0.856,49.0,6301233.112,483.875,469903.521,1.229,53113.287,82.0,301267.616,0.891,1364.0,55.261,1.016,19.459,12.25,9.401,216.64,1390.636,10711.808,31766637.02,2965.572,0.143,312.139,7,511.192,12.25,9.401,0.796,208.353,0,1,10,43,,,,,,,,,,
5203,F,8,7,28.414,526338.28,0.956,17.0,866432.585,336.526,258180.208,1.225,73412.618,114.0,264631.774,0.85,1113.0,59.379,1.08,23.356,13.549,7.829,238.61,1109.054,9554.525,31645855.133,3312.133,0.13,307.196,4,565.348,13.549,7.829,0.862,243.152,0,0,10,43,,,,,,,,,,
5204,F,8,8,150.835,996026.753,0.748,25.0,6804886.756,313.394,432031.109,1.066,16425.805,23.0,307080.986,0.916,2004.0,45.183,0.959,17.086,7.631,6.326,148.828,2063.33,18779.845,20314568.939,1081.722,0.136,158.647,2,316.431,7.631,6.326,1.314,147.974,0,0,10,43,,,,,,,,,,
5205,F,8,9,42.145,535587.921,0.811,16.0,1448744.234,316.352,281504.459,1.246,29753.093,46.0,255384.695,0.914,1369.5,51.285,0.996,18.716,17.03,14.013,191.395,1334.331,10595.966,16756897.525,1581.441,0.38,144.265,4,228.673,17.03,14.013,1.015,84.506,0,2,10,43,,,,,,,,,,
5206,F,8,1,29.681,515452.537,0.961,17.0,894150.162,63.376,57762.109,1.206,44684.766,53.0,261375.518,0.893,1039.0,60.487,0.981,22.928,15.441,14.653,260.053,1005.087,7639.721,19654259.557,2572.641,0.212,251.626,6,390.373,15.441,14.653,1.069,140.912,0,2,11,43,,,,,,,,,,
