,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT
0,B,2,1,229.949,121068.635,0.788,25.0,1534199.52,280.544,2562533.576,0.825,98458.929,17.0,451378.097,0.85,2717.0,49.569,1.001,18.095,11.022,9.658,166.151,2716.68,21330.968,23191336.534,1087.214,0.28,105.103,2,220.866,11.022,9.658,1.881,99.776,0,0,1,0,,,,,,,,,,
1,B,2,1,454.194,536070.891,0.868,119.0,2534841.666,756.603,5374143.299,0.947,122714.494,28.0,829656.894,0.668,3448.0,65.869,1.218,23.198,22.982,26.053,230.794,3594.793,21762.409,38344430.633,1761.957,0.514,116.177,4,207.58,22.982,26.053,1.008,81.41,0,2,2,0,,,,,,,,,,
2,B,2,2,154.954,91496.218,0.906,74.0,187547.606,752.061,5472430.209,0.954,140889.732,33.0,232585.514,0.617,2518.0,43.257,1.264,13.883,15.094,16.087,91.895,2530.989,24028.656,40065891.722,1667.421,0.355,114.574,2,242.978,15.094,16.087,1.606,109.533,0,0,2,0,,,,,,,,,,
3,B,2,3,35.385,23243.814,0.966,17.0,54130.033,133.618,857744.059,0.983,90927.016,21.0,435956.932,0.803,2973.0,47.556,1.172,19.145,13.703,13.09,144.603,3014.858,21115.957,22366515.436,1059.223,0.413,95.907,4,179.607,13.703,13.09,1.055,77.607,0,0,2,0,,,,,,,,,,
4,B,2,1,190.339,82423.56,0.87,56.0,391464.058,357.229,1719947.672,1.111,62389.872,19.0,476614.084,0.722,2838.5,53.23,1.3,21.174,12.983,12.574,162.876,2926.235,9168.694,12606414.968,1374.941,0.31,132.97,4,235.903,12.983,12.574,0.886,99.848,0,2,4,0,,,,,,,,,,
5,B,2,2,442.787,328956.56,0.773,65.0,2823422.05,714.141,5599996.175,0.813,94463.9,22.0,435698.253,0.808,3604.0,43.086,1.159,17.516,10.772,9.773,119.358,3650.347,19627.547,29061988.05,1480.673,0.214,162.108,4,295.082,10.772,9.773,1.055,129.994,0,0,4,0,,,,,,,,,,
6,B,2,3,94.958,64415.433,0.934,50.0,123868.824,524.542,2806933.846,0.98,126009.349,34.0,740498.444,0.396,3482.0,81.496,1.571,23.512,22.425,25.438,209.035,3542.461,25652.908,33656301.896,1311.988,0.619,94.468,5,163.193,22.425,25.438,1.516,60.953,0,1,4,0,,,,,,,,,,
7,B,2,1,78.692,63595.57,0.942,45.0,113710.398,427.788,2068960.299,1.069,132445.065,35.0,1300523.94,0.687,7544.0,57.486,1.347,24.062,20.054,22.486,180.727,7196.065,34488.434,34895295.71,1011.797,0.7,56.365,2,134.783,20.054,22.486,0.839,55.022,0,0,5,0,,,,,,,,,,
8,B,2,2,118.196,63447.639,0.923,62.0,124814.921,224.351,1069045.816,0.921,239153.956,59.0,266257.051,0.747,2828.0,39.779,1.14,13.753,18.688,20.448,94.113,2829.112,19265.633,37357850.872,1939.093,0.27,181.515,6,300.656,18.688,20.448,1.578,115.174,0,2,5,0,,,,,,,,,,
9,B,2,3,135.836,84125.405,0.933,60.0,221332.057,402.437,2153758.8,1.061,112385.465,29.0,491957.824,0.861,3589.0,44.051,1.064,17.368,23.981,26.557,132.984,3699.38,21988.171,22198793.307,1009.579,0.727,78.537,4,132.138,23.981,26.557,0.759,45.46,0,0,5,0,,,,,,,,,,
10,B,2,4,393.776,232970.073,0.882,92.0,1307902.591,625.521,3535872.622,0.967,299767.782,74.0,437649.387,0.663,3069.5,51.405,1.491,21.893,13.406,12.444,139.427,3138.912,10524.132,30776535.774,2924.378,0.156,249.425,3,485.496,13.406,12.444,1.71,212.078,0,1,5,0,,,,,,,,,,
11,B,2,5,329.661,395136.186,0.867,119.0,1305154.715,779.947,5885124.26,1.017,143914.37,37.0,506676.783,0.82,2932.5,51.663,1.083,19.397,22.143,21.544,174.073,2910.721,29851.57,46782832.728,1567.182,0.498,122.443,4,198.914,22.143,21.544,0.822,87.627,0,0,5,0,,,,,,,,,,
12,B,2,1,433.703,222567.916,0.851,124.0,917291.574,547.357,2197972.609,0.929,143217.955,53.0,483256.728,0.445,2567.0,72.956,1.392,21.227,9.877,8.722,188.543,2563.105,7256.782,14163554.576,1951.768,0.179,218.966,5,370.06,9.877,8.722,1.367,160.76,0,1,6,0,,,,,,,,,,
13,B,2,1,176.713,81892.407,0.903,73.0,210261.441,306.423,2031540.497,0.952,260049.491,52.0,583051.035,0.42,2784.5,79.818,1.415,21.778,11.738,10.746,212.732,2740.778,13131.039,19587028.236,1491.659,0.199,215.55,11,306.808,11.738,10.746,0.955,119.611,0,5,7,0,,,,,,,,,,
14,B,2,2,91.156,50268.507,0.916,44.0,108430.336,265.968,1590803.434,0.998,248915.595,52.0,539428.418,0.775,3156.0,52.235,1.148,20.042,11.454,10.097,168.369,3203.851,20996.548,23087231.5,1099.573,0.373,119.938,4,192.562,11.454,10.097,0.769,77.728,0,0,7,0,,,,,,,,,,
15,B,2,3,241.674,151786.285,0.859,50.0,885114.442,440.991,2725635.916,1.023,219234.667,46.0,425074.225,0.786,2534.5,51.608,1.171,20.155,19.458,10.391,166.679,2550.26,18819.308,32830822.111,1744.529,0.714,129.428,5,175.271,19.458,10.391,0.852,62.062,0,1,7,0,,,,,,,,,,
16,B,2,1,249.701,175898.283,0.93,122.0,370762.62,371.806,769971.853,1.096,225595.933,129.0,190550.358,0.682,2501.0,37.483,1.426,14.32,19.324,16.546,76.262,2498.615,12816.221,27081441.427,2113.06,0.28,221.875,9,308.187,19.324,16.546,0.959,84.137,0,7,8,0,,,,,,,,,,
17,B,2,2,10.88,12682.342,0.931,6.0,24408.191,383.319,1051399.416,1.241,31979.091,20.0,428439.911,0.705,2417.0,56.252,1.401,22.884,15.442,17.289,177.558,2412.954,15410.125,16259283.398,1055.104,0.547,74.72,2,155.741,15.442,17.289,1.041,69.208,0,0,8,0,,,,,,,,,,
18,B,2,1,7.183,8959.795,0.853,3.0,25947.065,319.732,394559.656,1.332,148614.073,142.0,151726.779,0.783,1984.0,35.134,1.091,12.369,20.332,22.019,76.896,1973.139,11652.618,20519105.102,1760.901,0.558,94.589,2,199.085,20.332,22.019,1.128,89.388,0,0,9,0,,,,,,,,,,
19,B,2,1,14.576,14006.654,0.885,10.0,22465.824,43.624,114699.485,1.135,38044.893,16.0,390792.906,0.771,2632.0,49.254,1.21,19.602,13.782,13.819,148.933,2623.943,9810.889,18184828.463,1853.535,0.29,159.075,4,283.323,13.782,13.819,1.44,124.774,0,0,10,0,,,,,,,,,,
20,B,2,2,34.223,194294.431,0.839,18.0,411759.044,213.049,705180.4,1.188,22034.962,9.0,339828.713,0.758,2655.0,45.903,1.222,19.397,16.277,17.008,127.174,2672.147,19880.991,23322169.107,1173.089,0.553,77.799,2,163.273,16.277,17.008,1.085,73.956,0,0,10,0,,,,,,,,,,
21,B,2,3,34.54,52380.263,1.107,9.0,183291.066,213.049,726725.688,1.327,32262.992,13.0,347633.567,0.654,2464.0,52.121,1.522,21.655,17.37,15.246,141.434,2457.921,15381.346,23515603.916,1528.839,0.46,95.828,2,204.443,17.37,15.246,1.124,89.37,0,0,10,0,,,,,,,,,,
22,B,2,1,7.605,6109.143,0.795,2.0,24139.9,109.852,303291.316,1.348,61025.827,26.0,569426.79,0.783,3280.0,52.33,1.144,20.75,21.726,23.625,170.693,3335.979,14732.488,18217759.029,1236.57,0.652,88.047,3,154.397,21.726,23.625,0.971,64.71,0,1,11,0,,,,,,,,,,
23,B,2,2,134.568,154304.165,0.932,38.0,572956.091,677.806,2122553.644,1.329,139752.491,57.0,299909.469,0.676,2706.0,45.455,1.268,17.522,27.617,21.166,111.225,2696.426,13528.706,42971187.262,3176.297,0.34,217.869,6,342.873,27.617,21.166,1.005,129.085,0,2,11,0,,,,,,,,,,
24,B,2,3,335.681,306967.344,0.794,65.0,1976830.997,621.718,3890008.456,0.984,60160.056,13.0,432138.743,0.705,2895.5,51.218,1.103,17.436,13.658,12.569,147.243,2934.859,18184.366,18452668.961,1014.755,0.382,111.858,4,182.623,13.658,12.569,0.848,75.591,0,0,11,0,,,,,,,,,,
25,B,2,1,499.508,414232.366,0.8,135.0,1782649.513,656.997,1161009.813,1.117,78023.843,67.0,308597.784,0.791,2780.0,41.423,1.139,16.641,22.522,23.47,108.056,2855.906,13143.099,21282036.415,1619.256,0.574,141.905,6,188.258,22.522,23.47,0.891,70.752,0,0,12,0,,,,,,,,,,
26,B,2,2,36.969,87705.247,1.029,22.0,134638.299,585.594,941886.407,1.292,60069.986,56.0,358776.221,0.723,2638.0,48.67,1.07,16.527,13.883,12.145,136.258,2633.06,9042.943,22208777.977,2455.924,0.22,187.288,2,374.215,13.883,12.145,1.384,172.831,0,0,12,0,,,,,,,,,,
27,B,2,3,3.908,8516.782,0.856,2.0,17187.452,515.141,774040.166,1.37,53632.837,51.0,339878.146,0.838,2550.0,44.633,1.08,16.994,22.057,25.709,132.878,2557.816,16981.366,25057760.604,1475.603,0.575,99.255,3,179.542,22.057,25.709,1.085,77.132,0,1,12,0,,,,,,,,,,
28,B,2,4,4.964,4799.111,0.905,3.0,9008.046,408.669,620248.282,1.342,66642.493,63.0,315426.437,0.708,2678.0,45.763,1.261,17.383,13.476,13.159,117.985,2673.448,12894.91,15709830.278,1218.297,0.39,98.486,2,198.116,13.476,13.159,1.145,91.728,0,0,12,0,,,,,,,,,,
29,B,2,1,63.376,40239.202,0.953,26.0,96045.619,100.662,307181.226,1.063,153075.898,56.0,506382.296,0.77,2763.0,54.848,1.148,20.519,15.075,16.022,184.213,2748.899,13793.919,26574305.38,1926.523,0.314,163.225,4,277.763,15.075,16.022,0.885,86.496,0,2,13,0,,,,,,,,,,
30,B,2,2,64.749,59138.441,0.902,33.0,110894.182,134.146,431757.008,1.026,146260.919,53.0,401706.456,0.808,2830.0,46.998,1.029,16.885,21.815,24.131,142.068,2827.57,15500.361,23573128.154,1520.812,0.508,155.014,6,193.968,21.815,24.131,0.82,75.14,0,2,13,0,,,,,,,,,,
31,B,2,3,128.864,65672.21,0.899,53.0,159700.53,226.358,998723.333,0.881,175237.279,50.0,489125.13,0.75,2524.5,56.58,1.104,19.229,23.441,27.118,191.184,2558.398,17697.763,19620742.763,1108.657,0.744,73.669,3,136.878,23.441,27.118,1.046,43.869,0,1,13,0,,,,,,,,,,
32,B,2,4,287.832,185817.069,0.922,115.0,495787.844,258.151,1350409.264,0.944,506910.368,129.0,444131.163,0.72,2450.5,55.98,1.177,20.949,18.865,18.865,179.565,2473.37,16913.557,25641939.52,1516.058,0.487,125.871,4,197.761,18.865,18.865,0.779,81.64,0,0,13,0,,,,,,,,,,
33,B,2,5,213.999,127640.281,0.856,51.0,599143.773,344.131,1603785.047,0.935,217371.727,62.0,426328.647,0.744,2510.0,53.798,1.246,20.855,17.046,18.561,171.326,2488.401,18935.365,22160863.857,1170.343,0.566,87.352,3,161.261,17.046,18.561,0.887,69.475,0,1,13,0,,,,,,,,,,
34,B,2,1,107.633,62472.607,0.967,56.0,120412.933,299.663,1393089.692,1.032,140437.913,35.0,501733.67,0.886,2372.0,54.704,1.049,19.179,16.25,16.25,211.042,2377.412,10790.492,14795261.018,1371.139,0.455,109.307,3,194.683,16.25,16.25,0.958,82.857,0,1,14,0,,,,,,,,,,
35,B,2,2,14.682,13065.291,1.031,11.0,17269.313,127.28,766677.465,0.944,331477.001,63.0,374719.392,0.944,2506.0,44.798,0.97,16.149,15.405,15.634,150.835,2484.304,17715.752,22763809.765,1284.947,0.475,90.505,2,184.384,15.405,15.634,1.01,82.086,0,0,14,0,,,,,,,,,,
36,B,2,3,90.628,49915.875,0.941,48.0,95254.688,131.822,847432.158,0.97,531245.486,97.0,516041.952,0.797,2934.0,52.787,1.192,20.29,18.331,18.431,176.713,2920.222,11654.945,22202383.66,1904.975,0.36,165.884,6,257.855,18.331,18.431,1.056,106.23,0,2,14,0,,,,,,,,,,
37,B,2,4,189.811,181922.248,0.893,37.0,1449283.14,382.263,3266369.561,1.054,71287.265,16.0,654551.149,0.914,4526.0,43.877,0.934,16.096,12.511,10.979,139.955,4676.861,27137.978,27254605.438,1004.298,0.387,87.841,2,180.537,12.511,10.979,1.05,82.768,0,0,14,0,,,,,,,,,,
38,B,2,5,273.045,228065.34,0.862,83.0,851228.483,567.637,4463738.896,0.951,118374.937,22.0,518285.25,0.636,2782.0,60.394,1.154,20.702,12.109,8.96,184.741,2805.471,15694.15,20978439.099,1336.704,0.254,119.113,2,257.253,12.109,8.96,1.254,113.698,0,0,14,0,,,,,,,,,,
39,B,2,1,156.539,114684.565,1.078,38.0,553166.634,942.612,4419912.102,1.162,63320.932,24.0,385690.192,0.849,2647.5,46.294,0.992,15.93,21.46,20.967,144.708,2665.292,13467.052,32539201.371,2416.208,0.409,163.004,4,272.425,21.46,20.967,1.048,96.594,0,2,15,0,,,,,,,,,,
40,B,2,1,0.951,846.111,0.965,1.0,804.346,16.161,47541.152,1.0,38181.958,14.0,386968.696,0.858,2434.0,48.368,1.027,17.678,18.111,18.78,159.813,2421.384,10215.397,19005814.364,1860.507,0.367,160.17,5,252.527,18.111,18.78,1.079,102.533,0,1,16,0,,,,,,,,,,
41,B,2,2,126.118,70988.736,0.918,68.0,132549.956,563.94,2635244.91,0.91,105214.605,31.0,457645.978,0.667,2870.5,55.025,1.505,22.57,23.679,25.852,160.764,2846.7,15264.673,41527823.329,2720.518,0.386,195.027,5,297.51,23.679,25.852,1.004,96.813,0,3,16,0,,,,,,,,,,
42,B,2,3,19.752,5448.486,0.812,4.0,26238.066,151.68,594531.06,0.972,110691.714,35.0,455535.559,0.763,2624.5,53.567,1.292,21.382,14.765,13.975,174.284,2613.756,15380.083,16614228.648,1080.243,0.397,113.168,5,184.954,14.765,13.975,1.102,75.574,0,1,16,0,,,,,,,,,,
43,B,2,4,45.525,13574.037,0.903,13.0,57212.111,324.802,1399515.802,0.917,240814.712,73.0,474982.364,0.752,2693.0,54.241,1.183,20.233,13.208,9.449,175.974,2699.164,15979.234,33196278.157,2077.464,0.212,185.76,3,350.872,13.208,9.449,1.094,153.789,0,1,16,0,,,,,,,,,,
44,B,2,5,196.888,127134.149,0.897,83.0,402892.431,601.015,2994962.369,0.886,103996.753,33.0,576222.699,0.709,3978.0,49.77,1.192,20.233,20.271,19.543,139.85,4120.303,28277.881,39743638.428,1405.467,0.382,148.453,6,215.035,20.271,19.543,1.231,86.849,0,2,16,0,,,,,,,,,,
45,B,2,6,36.124,21107.64,0.847,11.0,96502.666,583.904,2441447.273,1.058,23327.229,8.0,440847.232,0.785,2799.0,49.963,1.19,19.723,23.725,24.07,156.01,2825.754,21734.818,24032168.614,1105.699,0.653,90.913,4,145.914,23.725,24.07,0.702,52.517,0,0,16,0,,,,,,,,,,
46,B,2,1,31.582,28357.923,1.007,22.0,41580.856,241.568,1040005.688,1.008,155954.269,47.0,433117.69,0.659,2793.0,53.63,1.39,21.216,23.22,25.025,150.94,2869.462,17569.639,20798185.643,1183.757,0.702,79.05,3,145.614,23.22,25.025,0.955,51.413,0,1,17,0,,,,,,,,,,
47,B,2,2,337.583,219948.734,0.839,70.0,1370133.549,620.556,2864242.5,1.161,63922.932,22.0,744045.068,0.793,3654.0,56.303,1.1,20.674,26.186,28.535,199.951,3721.135,19788.661,29308905.296,1481.096,0.644,95.74,3,170.031,26.186,28.535,0.936,69.135,0,1,17,0,,,,,,,,,,
48,B,2,3,50.912,34697.354,1.028,33.0,53982.262,242.096,1754224.343,0.93,483805.0,98.0,512315.763,0.898,3092.0,47.731,1.025,17.46,17.922,17.552,162.771,3147.472,15343.441,23091381.674,1504.968,0.453,126.154,4,204.42,17.922,17.552,0.962,81.417,0,0,17,0,,,,,,,,,,
49,B,2,1,258.468,198671.957,0.954,90.0,634180.534,555.173,4072566.262,0.908,360780.349,58.0,432974.671,0.464,2384.0,69.919,1.575,23.238,22.288,19.198,180.516,2398.541,4738.065,11118845.782,2346.706,0.526,169.864,5,236.757,22.288,19.198,1.051,80.23,0,1,18,0,,,,,,,,,,
50,B,2,2,24.4,10849.516,0.88,9.0,31946.549,317.408,2633742.9,0.918,209395.025,34.0,915433.708,0.736,3385.5,68.331,1.287,27.633,19.836,20.475,273.362,3348.801,16904.333,34994935.802,2070.175,0.454,115.064,2,239.342,19.836,20.475,1.026,102.918,0,0,18,0,,,,,,,,,,
51,B,2,1,116.189,123214.129,0.885,34.0,484801.94,415.746,5733888.75,1.025,68124.74,10.0,540078.021,0.91,3209.5,48.229,0.978,17.435,16.096,16.589,168.369,3207.709,16967.965,21955285.476,1293.926,0.461,84.344,2,187.858,16.096,16.589,1.063,81.349,0,0,19,0,,,,,,,,,,
52,B,2,2,301.881,141982.677,0.86,36.0,1604479.541,225.196,2065522.26,0.927,369741.879,53.0,504674.631,0.872,2993.0,49.624,1.051,18.644,14.323,14.908,170.904,2952.975,18429.064,28914782.3,1568.977,0.341,120.918,2,240.535,14.323,14.908,1.243,111.853,0,0,19,0,,,,,,,,,,
53,B,2,1,405.606,174272.915,0.799,57.0,1677063.49,225.618,1512371.787,0.993,509743.37,92.0,444782.456,0.742,2670.0,53.188,1.238,21.076,11.096,9.715,166.996,2663.438,14731.479,25876874.697,1756.57,0.202,164.586,2,330.232,11.096,9.715,1.595,149.177,0,0,20,0,,,,,,,,,,
54,B,2,2,438.456,346995.975,0.828,110.0,1846579.159,443.526,2585151.291,1.068,241301.66,51.0,308676.581,0.627,2536.0,48.767,1.373,18.842,25.246,28.081,118.619,2602.26,13467.641,20431954.509,1517.115,0.701,66.962,2,164.89,25.246,28.081,1.06,64.256,0,0,20,0,,,,,,,,,,
55,B,2,3,342.125,493285.057,0.837,87.0,2438394.876,450.497,3745063.115,0.989,289353.24,51.0,465152.226,0.758,3304.0,47.11,1.13,17.951,17.266,18.643,133.829,3475.724,41220.224,48537850.855,1177.525,0.6,88.469,3,157.0,17.266,18.643,1.163,67.909,0,1,20,0,,,,,,,,,,
56,B,2,4,97.388,36602.589,0.915,48.0,75963.893,22.71,112383.94,1.171,63379.221,14.0,425984.41,0.688,2584.0,54.573,1.437,21.893,11.95,12.402,163.087,2612.0,10568.25,14741702.002,1394.905,0.242,151.225,4,269.216,11.95,12.402,1.409,116.337,0,2,20,0,,,,,,,,,,
57,B,4,1,8.873,5297.625,0.9,6.0,8161.238,105.31,532362.21,1.032,137211.742,31.0,468786.309,0.604,2636.0,60.931,1.57,24.351,12.391,11.131,178.509,2626.122,11585.389,30000843.397,2589.541,0.16,244.272,4,451.012,12.391,11.131,0.965,206.451,0,0,1,2,,,,,,,,,,
58,B,4,1,4.648,2182.886,0.888,2.0,5636.763,455.039,1931668.661,1.463,49644.347,18.0,412641.343,0.851,2606.0,48.405,1.054,17.616,14.865,15.082,158.757,2599.205,27185.2,35276129.719,1297.623,0.374,121.542,4,208.821,14.865,15.082,0.925,85.761,0,0,2,2,,,,,,,,,,
59,B,4,2,482.397,374523.449,0.908,221.0,939906.648,1330.684,7362844.083,1.025,469023.414,146.0,373340.331,0.425,2778.0,62.491,1.979,21.893,22.295,14.95,132.139,2825.364,22331.358,69834189.849,3127.181,0.297,242.766,6,363.843,22.295,14.95,0.696,132.916,0,2,2,2,,,,,,,,,,
60,B,4,1,313.5,127541.515,0.82,51.0,1350350.113,500.459,2137740.634,1.223,42746.053,16.0,728317.164,0.888,3454.0,54.845,0.967,19.109,12.676,13.197,212.626,3425.339,14583.754,28736761.579,1970.464,0.233,174.496,3,326.264,12.676,13.197,1.09,141.84,0,1,3,2,,,,,,,,,,
61,B,4,2,46.898,23756.561,0.943,26.0,42383.723,206.817,573646.361,1.242,136825.698,55.0,273912.971,0.682,2594.0,44.101,1.277,16.285,32.457,13.991,105.521,2595.816,11974.849,42720727.723,3567.538,0.208,282.682,5,464.046,32.457,13.991,0.896,147.799,0,3,3,2,,,,,,,,,,
62,B,4,3,178.298,115492.018,0.935,93.0,248724.411,794.312,4005834.238,0.987,352381.206,103.0,469926.759,0.742,2935.0,51.495,1.261,19.778,27.141,30.474,156.644,2999.962,18529.173,47784384.741,2578.873,0.466,180.656,6,263.641,27.141,30.474,1.079,99.496,0,0,3,2,,,,,,,,,,
63,B,4,1,189.388,127494.615,0.959,100.0,262233.312,589.396,4245402.831,1.015,143966.63,38.0,576275.301,0.761,2701.0,59.443,1.256,23.727,19.564,19.564,214.105,2691.554,16063.385,33586582.752,2090.878,0.412,132.88,3,252.52,19.564,19.564,1.321,108.94,0,1,4,2,,,,,,,,,,
64,B,4,2,125.696,45694.782,0.825,30.0,232932.814,249.384,1065956.027,1.214,147345.402,42.0,440227.31,0.854,2730.0,48.651,1.035,18.345,17.629,15.651,160.764,2738.351,15050.444,25794910.157,1713.897,0.396,147.802,4,233.2,17.629,15.651,0.997,98.049,0,2,4,2,,,,,,,,,,
65,B,4,3,276.108,173873.513,0.911,103.0,567807.218,667.56,5508755.403,0.906,363785.317,69.0,440209.67,0.527,2616.5,63.347,1.588,21.514,29.239,16.787,168.369,2614.556,12691.055,40968753.226,3228.16,0.268,286.105,7,389.263,29.239,16.787,0.882,119.31,0,5,4,2,,,,,,,,,,
66,B,4,1,22.076,15214.77,0.933,15.0,23197.394,143.969,364666.804,1.159,97840.985,51.0,454132.733,0.509,3378.0,57.253,1.836,21.302,18.442,19.727,132.773,3420.379,17682.52,21706922.731,1227.592,0.546,105.453,4,168.012,18.442,19.727,1.082,63.463,0,2,5,2,,,,,,,,,,
67,B,4,2,20.386,10707.5,0.958,10.0,27252.187,227.203,791099.599,1.006,79341.267,30.0,481143.351,0.587,2640.5,62.526,1.695,24.748,9.101,9.773,182.734,2633.026,12797.135,14190331.971,1108.868,0.309,130.021,4,212.36,9.101,9.773,0.835,69.503,0,2,5,2,,,,,,,,,,
68,B,4,3,556.652,425302.005,0.835,125.0,2711832.95,708.015,2176089.422,0.944,92701.267,44.0,416568.011,0.649,2535.0,55.513,1.356,20.293,18.248,15.867,159.179,2616.974,9882.926,22608778.986,2287.661,0.348,183.707,5,287.263,18.248,15.867,0.928,119.645,0,1,5,2,,,,,,,,,,
69,B,4,4,0.951,675.333,0.965,1.0,641.998,904.269,3055436.863,1.499,32466.221,18.0,272669.007,0.915,2336.0,39.981,0.985,14.201,22.063,25.389,116.4,2342.507,15940.84,27398411.28,1718.756,0.594,88.2,2,190.732,22.063,25.389,1.333,78.945,0,0,5,2,,,,,,,,,,
70,B,4,1,51.546,24118.067,0.823,24.0,55574.054,186.959,725647.663,0.984,114968.134,42.0,282003.228,0.722,2649.0,42.848,1.074,13.508,10.117,7.959,105.521,2672.485,13058.739,16468059.095,1261.076,0.184,167.25,4,293.561,10.117,7.959,1.19,125.659,1,1,6,2,,,,,,,,,,
71,B,4,2,138.371,72114.07,0.937,75.0,132160.194,539.329,1613641.38,1.077,304238.591,127.0,237252.73,0.645,2673.5,41.389,1.272,14.542,18.688,18.97,87.881,2699.695,15453.195,45083249.017,2917.406,0.278,247.229,6,363.198,18.688,18.97,1.016,152.937,1,3,6,2,,,,,,,,,,
72,B,4,3,140.272,73872.349,0.951,86.0,123987.231,338.85,971269.716,1.027,275642.954,112.0,224127.571,0.699,2538.0,39.586,1.176,13.09,16.914,17.701,87.142,2571.983,14686.946,28432811.892,1935.924,0.343,152.61,4,266.48,16.914,17.701,0.967,111.618,0,2,6,2,,,,,,,,,,
73,B,4,4,64.432,51835.727,0.945,32.0,107058.458,1273.645,6183174.173,1.137,45335.501,21.0,366160.047,0.744,2426.0,50.5,1.206,19.45,26.784,33.191,151.046,2424.162,9306.784,34631650.593,3721.119,0.423,222.297,6,332.321,26.784,33.191,1.167,134.098,0,0,6,2,,,,,,,,,,
74,B,4,5,61.369,29951.3,0.962,22.0,127072.795,301.881,1098636.786,0.96,133570.006,48.0,395871.116,0.477,2414.0,65.432,1.452,18.332,13.342,13.0,162.665,2433.66,14123.685,16401251.653,1161.259,0.423,143.597,7,185.832,13.342,13.0,0.713,60.684,0,1,6,2,,,,,,,,,,
75,B,4,1,316.035,170239.557,0.858,97.0,663079.334,320.154,1809133.373,0.95,562366.595,120.0,349346.196,0.587,2457.0,55.262,1.475,20.026,24.89,27.131,142.596,2449.904,12148.463,36516040.689,3005.816,0.457,221.593,7,287.506,24.89,27.131,0.99,117.486,0,1,7,2,,,,,,,,,,
76,B,4,2,175.763,93046.77,0.943,95.0,170774.843,207.028,1050099.47,1.0,453654.975,100.0,230434.323,0.732,2511.5,39.582,1.188,14.534,19.14,18.237,91.261,2524.993,12842.147,31696683.279,2468.176,0.297,172.31,3,323.233,19.14,18.237,0.846,122.741,0,1,7,2,,,,,,,,,,
77,B,4,3,303.465,246149.657,0.953,154.0,517408.866,736.323,6243615.711,0.933,531552.134,93.0,273936.526,0.619,2732.0,45.217,1.231,13.756,13.298,10.251,100.768,2718.494,12415.379,45062123.911,3629.541,0.118,405.095,9,621.877,13.298,10.251,0.841,266.568,0,3,7,2,,,,,,,,,,
78,B,4,1,58.834,78463.474,1.014,24.0,202113.195,1600.982,5161615.112,1.356,65718.597,44.0,378376.501,0.726,2478.0,51.521,1.207,19.777,19.054,20.832,153.264,2468.786,11675.054,31303449.342,2681.225,0.322,193.25,4,323.617,19.054,20.832,0.789,127.727,0,2,10,2,,,,,,,,,,
79,B,4,2,144.286,95069.203,0.95,67.0,222218.265,1133.373,2505514.973,1.229,116925.767,77.0,279744.087,0.78,2474.0,42.899,1.184,15.651,21.404,21.179,114.182,2449.977,12345.453,42745384.453,3462.439,0.368,251.502,8,343.992,21.404,21.179,0.952,121.087,0,2,10,2,,,,,,,,,,
80,B,4,1,22.921,32208.794,0.919,8.0,88409.874,284.769,1869521.147,1.407,56500.683,13.0,347963.65,0.77,2624.5,46.539,1.152,16.792,16.173,16.065,132.667,2622.835,8915.708,23584830.734,2645.312,0.245,210.311,4,368.09,16.173,16.065,1.004,165.723,0,0,11,2,,,,,,,,,,
81,B,4,2,11.619,7054.923,0.918,7.0,11918.798,79.114,363717.538,1.071,144227.42,35.0,181898.379,0.685,2265.0,38.395,1.148,12.753,15.009,12.871,80.382,2262.929,7760.728,19928680.17,2567.888,0.215,233.424,5,387.844,15.009,12.871,0.866,155.409,0,3,11,2,,,,,,,,,,
82,B,4,1,8.873,4908.923,0.891,5.0,8683.456,938.281,2111241.248,1.272,114967.764,81.0,541159.532,0.773,2606.0,58.285,1.168,22.85,25.009,23.917,209.035,2588.846,12410.906,31173716.976,2511.8,0.37,172.387,4,292.262,25.009,23.917,0.916,122.311,0,2,12,2,,,,,,,,,,
83,B,4,1,78.269,49045.968,0.971,54.0,73516.525,158.334,579154.787,1.0,140974.182,49.0,407635.699,0.544,2402.0,62.324,1.382,21.032,16.401,18.839,168.263,2422.608,13651.749,17322597.175,1268.892,0.439,106.676,3,190.598,16.401,18.839,1.068,66.907,0,1,14,2,,,,,,,,,,
