,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT
1475,G,8,2,99.183,66685.732,0.944,52.0,132398.698,159.391,634110.609,0.984,467512.383,140.0,240611.127,0.649,2492.0,43.203,1.19,14.526,24.555,20.475,96.437,2495.007,6519.771,21329902.686,3271.572,0.385,209.52,6,326.839,24.555,20.475,1.102,136.95,0,2,17,56,,,,,,,,,,
1476,G,8,1,11.513,4186.991,0.754,2.0,22833.087,227.625,1187121.232,1.142,102344.984,23.0,439547.18,0.617,2641.0,58.266,1.34,20.778,14.898,9.199,166.573,2638.764,6774.952,18968806.929,2799.844,0.206,250.992,5,413.674,14.898,9.199,1.324,169.34,0,1,18,56,,,,,,,,,,
1477,G,8,2,171.643,126234.033,0.869,60.0,448349.888,137.209,979653.509,0.991,381228.057,64.0,393476.561,0.862,2924.0,43.62,1.036,16.063,11.37,7.506,130.449,3016.329,12156.992,17854148.385,1468.632,0.21,152.677,3,296.747,11.37,7.506,0.973,129.784,0,1,18,56,,,,,,,,,,
1478,G,8,3,99.5,66182.171,0.899,40.0,178661.981,93.268,663962.478,0.999,323882.842,55.0,694447.049,0.443,3138.0,78.985,1.344,21.321,14.526,9.592,219.703,3160.84,12294.535,16648433.811,1354.133,0.304,136.822,4,236.472,14.526,9.592,0.9,97.599,0,2,18,56,,,,,,,,,,
1479,G,8,4,196.677,503750.775,0.839,51.0,2273182.54,417.436,4155934.79,1.002,116397.783,21.0,434404.644,0.869,3975.5,39.279,0.989,15.145,15.234,12.494,106.683,4071.926,10185.79,12444822.455,1221.783,0.415,91.647,2,192.269,15.234,12.494,1.13,84.541,0,0,18,56,,,,,,,,,,
1480,G,8,1,500.564,431629.781,0.876,174.0,1428879.359,454.3,2431198.115,0.945,916485.448,211.0,248825.179,0.615,2495.0,45.081,1.313,14.535,24.755,17.991,99.395,2503.407,10753.032,35375813.858,3289.846,0.283,331.432,12,382.416,24.755,17.991,0.694,124.858,0,6,19,56,,,,,,,,,,
1481,G,8,2,11.725,23058.514,1.016,11.0,24853.407,155.799,513331.046,1.218,57430.691,21.0,550402.175,0.92,3815.5,43.543,0.917,15.981,11.954,10.578,138.793,3965.624,16781.267,28029299.75,1670.273,0.221,149.342,2,308.091,11.954,10.578,1.267,139.529,0,0,19,56,,,,,,,,,,
1482,G,8,1,0.951,1243.778,0.965,1.0,1182.384,45.208,142206.021,1.064,112719.78,43.0,320333.426,0.704,2615.0,46.803,1.356,19.112,20.001,19.894,122.738,2609.894,9921.696,34245329.072,3451.56,0.304,180.964,2,377.899,20.001,19.894,1.095,166.739,0,0,20,56,,,,,,,,,,
1483,G,10,1,147.56,102088.48,0.925,75.0,228812.004,508.275,2972155.266,0.993,258842.785,78.0,413066.49,0.807,2382.0,51.996,1.077,18.738,14.335,12.511,173.544,2380.177,10876.211,27178713.054,2498.914,0.212,206.543,3,385.115,14.335,12.511,0.843,161.413,0,1,1,58,,,,,,,,,,
1484,G,10,1,5.915,4244.787,0.949,5.0,5120.249,992.045,1140057.723,1.33,72372.742,100.0,456932.26,0.842,2507.0,52.303,1.046,19.109,25.183,27.519,183.368,2491.89,8400.222,20881405.977,2485.816,0.474,164.863,5,256.684,25.183,27.519,1.09,98.197,0,3,3,58,,,,,,,,,,
1485,G,10,1,114.816,59805.974,0.941,54.0,144861.368,464.44,1268401.945,1.072,37618.031,20.0,224970.788,0.515,2056.0,51.71,1.458,16.796,18.738,18.095,109.64,2051.897,7887.264,18381624.204,2330.545,0.324,241.041,9,300.592,18.738,18.095,1.003,94.795,0,1,6,58,,,,,,,,,,
1486,G,10,2,1.268,859.0,1.033,1.0,1088.799,703.473,1728629.966,1.355,127548.605,76.0,327681.656,0.636,2310.0,52.963,1.586,21.308,19.982,20.233,142.068,2306.517,6968.286,23672396.335,3397.162,0.304,214.605,4,374.429,19.982,20.233,0.976,163.977,0,2,6,58,,,,,,,,,,
1487,G,10,3,115.239,35053.946,0.813,35.0,117703.717,22.815,45755.113,1.075,39698.329,22.0,332250.639,0.403,2672.0,62.127,1.234,16.541,9.182,7.364,123.9,2681.604,9363.504,16104455.95,1719.918,0.117,250.606,6,430.264,9.182,7.364,1.206,176.517,0,4,6,58,,,,,,,,,,
1488,G,10,4,76.157,42692.959,0.843,28.0,120771.958,1216.079,4147443.68,1.254,53741.131,29.0,187388.004,0.787,2218.0,36.655,1.099,13.645,19.054,13.921,84.184,2225.923,6726.143,29726335.536,4419.522,0.207,352.815,7,517.932,19.054,13.921,0.643,169.614,0,3,6,58,,,,,,,,,,
1489,G,10,5,2.852,1769.667,0.962,2.0,2623.976,38.237,67428.103,1.249,64108.947,38.0,404564.606,0.654,2294.0,58.218,1.446,23.069,27.686,27.047,176.502,2292.124,9800.485,22234884.115,2268.753,0.514,198.412,7,235.435,27.686,27.047,0.765,83.65,0,1,6,58,,,,,,,,,,
1490,G,10,6,170.27,104447.119,0.916,91.0,192854.285,210.091,480425.724,1.063,187409.714,98.0,234118.684,0.499,2517.5,48.343,1.251,14.721,10.593,10.008,92.74,2524.459,12154.749,30828157.07,2536.306,0.121,290.799,5,512.843,10.593,10.008,1.014,231.61,0,3,6,58,,,,,,,,,,
1491,G,10,7,273.256,178475.768,0.873,100.0,534802.29,800.333,2613596.108,1.071,163397.484,81.0,205117.32,0.597,2394.5,42.497,1.341,14.534,16.479,15.473,85.769,2391.515,8866.723,32274852.57,3639.998,0.204,238.384,2,473.316,16.479,15.473,1.248,221.012,0,0,6,58,,,,,,,,,,
1492,G,10,1,116.506,72794.057,0.931,59.0,155702.564,301.67,1119853.787,1.009,88730.772,37.0,171743.967,0.633,2192.0,39.305,1.267,13.589,22.68,20.006,77.847,2206.179,7834.278,10216414.707,1304.066,0.533,136.121,6,175.317,22.68,20.006,0.66,64.927,0,2,14,58,,,,,,,,,,
1493,G,10,1,32.11,21562.395,0.92,19.0,38014.796,12.464,67246.531,1.071,94393.332,19.0,207761.471,0.675,2462.0,39.649,1.185,13.098,14.965,11.07,84.501,2458.679,9929.501,11553793.241,1163.582,0.434,128.177,5,183.457,14.965,11.07,0.766,64.501,1,2,15,58,,,,,,,,,,
1494,G,10,1,2.641,2044.04,0.964,1.0,5397.624,432.224,1947093.099,1.222,59383.164,19.0,276131.341,0.894,2566.0,38.902,0.983,13.098,22.486,25.338,107.633,2565.478,10553.116,28852624.33,2734.039,0.372,145.759,2,303.827,22.486,25.338,1.056,135.696,0,0,17,58,,,,,,,,,,
1495,G,10,2,320.154,456213.7,0.898,138.0,1099294.734,783.855,4972080.142,0.943,667385.959,144.0,210605.044,0.816,2329.0,37.29,1.07,13.026,21.935,17.875,90.311,2332.005,8140.325,27466561.869,3374.136,0.332,216.843,4,357.196,21.935,17.875,0.756,132.727,0,2,17,58,,,,,,,,,,
1496,G,10,3,7.394,5397.743,0.991,1.0,39910.16,8.45,42147.225,1.13,74212.567,21.0,166344.336,0.642,2155.0,38.815,1.436,15.914,26.727,22.143,77.002,2160.266,8842.865,43303105.177,4896.954,0.308,300.094,6,447.087,26.727,22.143,1.062,165.328,0,4,17,58,,,,,,,,,,
1497,G,10,1,12.253,7501.685,0.893,5.0,26281.056,7.816,28119.592,1.167,24681.549,7.0,216856.342,0.823,2357.5,37.456,1.042,13.37,13.975,12.902,91.895,2359.824,7101.971,30466122.48,4289.812,0.127,343.754,3,651.027,13.975,12.902,1.275,284.757,0,1,18,58,,,,,,,,,,
1498,G,10,2,19.541,18265.664,0.839,6.0,60703.809,804.98,7195831.131,1.173,54482.145,13.0,367426.088,0.608,2623.0,53.805,1.464,21.846,17.086,14.352,140.061,2623.332,12737.785,27566898.779,2164.183,0.333,177.312,4,285.794,17.086,14.352,0.852,113.123,0,0,18,58,,,,,,,,,,
1499,G,10,3,66.228,49501.654,0.919,22.0,168990.494,450.286,2436779.846,1.19,94434.239,25.0,803341.509,0.897,3072.0,60.681,0.986,21.216,19.306,16.816,262.799,3056.867,9551.329,26681696.562,2793.506,0.313,172.326,3,334.891,19.306,16.816,1.57,150.395,0,1,18,58,,,,,,,,,,
1500,G,10,4,439.829,244855.518,0.815,86.0,1648400.448,439.09,2563475.026,1.002,444806.839,95.0,829288.679,0.898,2962.0,62.73,1.012,22.575,18.535,13.159,281.284,2948.23,8246.826,25760569.159,3123.695,0.286,229.885,4,370.605,18.535,13.159,0.901,156.464,0,0,18,58,,,,,,,,,,
1501,G,10,1,84.501,50248.042,0.888,34.0,129454.252,0.423,1529.262,1.078,7239.0,2.0,738348.943,0.348,2976.5,94.533,1.441,20.393,33.475,35.12,247.589,2982.159,6562.571,10860775.214,1654.957,0.801,104.83,4,161.133,33.475,35.12,0.793,57.019,0,0,19,58,,,,,,,,,,
1502,G,10,1,1.901,1384.111,0.965,2.0,1315.79,1549.859,2269415.262,1.353,87238.025,98.0,623433.24,0.712,3161.5,58.981,1.21,22.203,20.358,21.014,197.099,3163.043,6499.217,19503184.6,3000.851,0.333,204.272,5,336.561,20.358,21.014,1.097,147.308,0,1,20,58,,,,,,,,,,
0,B,3,1,,,,,,,,,,,538402.255,0.854,2434.0,57.168,1.055,21.151,21.009,18.392,222.133,2423.786,7471.861,13088543.287,1751.711,0.471,148.065,5,216.097,21.009,18.392,1.015,72.257,0,3,1,1,254.349,1117876.816,0.866,119.0,2398405.391,343.603,747789.953,1.001,181588.139,99.0
1,B,3,2,,,,,,,,,,,465085.153,0.623,2321.5,63.54,1.36,23.512,26.457,27.484,200.268,2322.314,11030.43,25297960.104,2293.47,0.469,160.496,4,247.897,26.457,27.484,0.689,89.912,0,2,1,1,25.35,165817.589,0.907,15.0,268673.681,580.312,1496258.029,1.415,58180.172,34.0
2,B,3,3,,,,,,,,,,,830844.136,0.602,3360.0,71.513,1.577,29.736,20.047,20.475,244.948,3391.92,15836.287,50988243.433,3219.71,0.264,226.237,5,391.339,20.047,20.475,1.023,159.56,0,3,1,1,491.058,2413896.412,0.828,189.0,6450233.352,1118.797,3369296.541,1.102,225635.205,125.0
3,B,3,4,,,,,,,,,,,470362.891,0.751,2979.5,50.907,1.272,21.061,11.37,8.775,154.849,3037.567,24719.957,30332970.03,1227.064,0.276,131.139,3,236.345,11.37,8.775,0.944,103.481,0,1,1,1,171.115,752773.434,0.816,57.0,2498520.486,591.72,2237190.387,0.866,37552.258,18.0
4,B,3,5,,,,,,,,,,,507757.343,0.765,3112.0,51.815,1.213,20.027,16.401,20.026,163.404,3107.368,30695.068,38322983.578,1248.506,0.469,126.769,5,182.928,16.401,20.026,1.037,66.206,0,1,1,1,28.836,363248.947,0.845,12.0,715865.269,845.435,3522643.526,1.449,32283.147,18.0
5,B,3,6,,,,,,,,,,,446996.072,0.929,3321.0,42.362,0.93,15.93,15.25,15.39,132.667,3369.309,16223.229,16748768.609,1032.394,0.532,75.577,2,156.176,15.25,15.39,1.137,69.768,0,0,1,1,3.38,13485.813,0.862,1.0,45582.73,462.75,1438030.952,1.432,27733.286,16.0
6,B,3,7,,,,,,,,,,,503138.292,0.862,2675.5,51.988,0.991,18.084,10.725,9.75,185.48,2712.624,19254.202,29999929.093,1558.098,0.202,184.172,5,311.114,10.725,9.75,0.849,143.033,0,1,1,1,59.785,338411.312,0.917,26.0,787926.048,568.588,1356810.34,1.361,92125.361,55.0
7,B,3,8,,,,,,,,,,,434387.321,0.7,2739.0,52.723,1.388,21.777,16.101,14.052,154.743,2807.154,12425.245,27881393.801,2243.931,0.325,146.109,2,294.552,16.101,14.052,1.135,134.053,0,0,1,1,25.034,133218.802,0.951,11.0,295955.655,604.395,1721859.618,1.287,74913.402,44.0
