,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
1650,D,9,6,66.967,739879.507,0.875,30,1664782.392,502.466,459532.469,1.37,67239.672,102,457316.423,0.853,2283.0,53.841,0.921,18.608,16.313,13.863,196.782,2323.971,11152.77,27422158.988,2458.776,0.228,243.017,8,368.081,16.313,13.863,0.975,118.823,0,4,7,27
1651,D,9,1,138.16,1209712.957,0.874,58,3033514.488,443.737,531499.347,1.106,78859.425,90,304756.99,0.743,1289.0,62.552,1.199,24.682,29.334,29.719,231.428,1316.855,9270.553,29099387.044,3138.905,0.42,247.494,9,306.587,29.334,29.719,1.107,99.362,1,3,8,27
1652,D,9,2,277.375,1513348.993,0.792,81,5733003.916,345.293,481049.555,0.878,62534.332,64,300838.244,0.754,1750.0,52.37,1.17,21.415,11.237,11.278,164.461,1829.242,18018.101,20784743.287,1153.548,0.261,153.685,6,235.638,11.237,11.278,0.756,79.896,0,2,8,27
1653,D,9,1,163.827,1092494.438,0.857,54,3640537.16,285.403,317572.03,1.129,28454.745,43,289229.248,0.855,1686.0,49.576,0.983,18.682,17.553,17.924,167.207,1729.769,9332.857,14320685.316,1534.437,0.417,114.96,3,214.953,17.553,17.924,0.765,83.386,0,1,9,27
1654,D,9,1,179.037,1337971.123,0.869,65,3841017.051,340.329,353286.385,1.115,53258.956,68,316888.415,0.914,1494.0,53.974,0.934,19.723,17.231,11.302,211.781,1496.3,7841.044,15192089.216,1937.508,0.339,212.69,7,268.031,17.231,11.302,0.804,91.683,0,1,10,27
1655,D,9,2,187.487,1112177.755,0.811,54,4017818.208,238.61,238291.145,0.998,62980.671,77,274197.635,0.83,1411.0,53.49,1.018,20.698,22.062,24.547,189.072,1450.232,10377.931,21146512.648,2037.642,0.437,146.083,4,242.023,22.062,24.547,1.184,100.786,0,0,10,27
1656,D,9,1,161.503,1030261.152,0.836,42,4267312.108,139.85,220552.533,0.985,47060.03,36,545361.357,0.943,2606.5,51.924,0.873,18.386,13.756,10.855,202.381,2694.732,12046.381,12262293.274,1017.923,0.404,111.29,4,177.882,13.756,10.855,1.015,73.591,0,0,11,27
1657,D,9,2,195.304,1322715.522,0.823,51,5272888.705,195.726,333907.392,1.074,53632.999,44,293658.594,0.822,1985.0,46.879,0.971,17.213,11.37,12.003,143.758,2042.732,15355.95,19235256.537,1252.626,0.244,148.39,5,254.009,11.37,12.003,1.045,101.105,0,3,11,27
1658,D,9,1,105.838,791298.678,0.863,34,2537655.452,215.795,226414.809,1.092,27241.075,36,266222.722,0.91,1760.0,45.559,0.886,17.086,11.719,10.538,150.307,1771.197,9823.446,10268258.03,1045.281,0.352,123.747,5,193.253,11.719,10.538,0.736,63.911,0,1,13,27
1659,D,9,2,251.708,1712784.981,0.815,70,6898403.675,402.437,484278.982,1.209,44150.987,59,313040.332,0.725,1623.0,57.06,1.085,20.59,14.545,14.011,187.804,1666.845,12147.686,20486272.029,1686.434,0.314,124.145,2,259.586,14.545,14.011,0.94,114.885,0,0,13,27
1660,D,9,3,180.833,1322186.284,0.813,66,3821514.686,243.892,274963.005,1.071,37910.423,47,281646.316,0.823,1590.0,51.541,1.024,20.107,18.507,20.501,173.967,1618.964,10101.419,12076061.458,1195.482,0.535,87.728,3,167.535,18.507,20.501,0.988,67.341,0,1,13,27
1661,D,9,4,224.879,1575753.425,0.861,73,5335183.356,321.316,371703.647,0.914,22150.655,26,328196.374,0.869,1749.0,51.929,0.999,18.946,16.628,13.819,186.537,1759.421,11799.287,14213014.858,1204.566,0.463,80.722,2,180.791,16.628,13.819,1.009,75.07,0,0,13,27
1662,D,9,5,425.57,3190711.135,0.767,138,10579560.805,444.477,453772.863,0.986,132856.194,164,569851.726,0.853,2247.0,61.237,1.019,23.292,13.015,11.07,254.454,2239.504,13504.177,26396960.246,1954.726,0.187,213.83,5,362.862,13.015,11.07,0.926,124.858,0,3,13,27
