,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
1477,D,8,7,16.055,11182.493,0.975,11,16293.218,355.539,301344.406,1.278,50601.396,74,744027.64,0.775,3236.0,60.932,1.129,23.22,14.95,9.704,228.998,3249.051,5228.253,9761990.867,1867.161,0.268,160.576,3,295.676,14.95,9.704,0.977,119.578,0,1,12,26
1478,D,8,8,3.908,3317.782,0.801,2,6659.862,357.335,335508.269,1.36,39914.691,59,453276.101,0.901,2965.5,45.968,1.007,17.522,15.561,17.225,151.469,2992.543,5663.611,5847079.043,1032.394,0.524,71.865,2,157.312,15.561,17.225,1.077,68.73,0,0,12,26
1479,D,8,9,72.565,48480.26,0.959,51,69682.914,510.388,541198.825,1.058,93449.591,115,1397764.725,0.807,3866.5,74.707,1.135,27.529,20.991,23.282,358.285,3901.261,6673.296,9133097.261,1368.604,0.545,80.975,3,177.628,20.991,23.282,0.849,66.748,0,1,12,26
1480,D,8,1,29.681,23011.24,0.99,20,34965.885,61.58,119506.868,0.985,93547.221,55,490086.543,0.783,2718.0,53.632,1.142,19.564,23.917,24.351,179.143,2735.733,5042.38,5627550.876,1116.05,0.651,78.137,3,146.806,23.917,24.351,0.808,52.17,0,1,13,26
1481,D,8,2,135.73,71296.877,0.912,72,137244.529,79.009,146415.874,0.982,145044.0,88,399875.208,0.595,2870.0,54.205,1.347,18.387,14.352,14.983,139.11,2874.521,4706.035,12087552.469,2568.522,0.176,271.505,9,428.236,14.352,14.983,1.045,152.08,0,7,13,26
1482,D,8,3,238.082,188307.99,0.851,74,780597.253,196.888,413840.204,1.064,49442.315,32,801516.493,0.944,3580.0,54.694,0.997,19.777,14.014,14.983,224.668,3567.564,6451.206,8241079.594,1277.448,0.394,96.967,2,201.879,14.014,14.983,1.826,92.219,0,0,13,26
1483,D,8,4,63.059,42161.568,0.98,41,65113.614,84.29,181427.073,0.963,151719.406,82,209531.772,0.854,2789.0,33.202,1.068,12.433,19.723,23.195,74.889,2797.889,5922.903,7699455.833,1299.946,0.546,100.602,4,172.923,19.723,23.195,1.014,65.527,0,0,13,26
1484,D,8,5,52.602,26681.24,0.953,30,46926.511,12.358,18873.569,1.063,48001.43,32,832942.408,0.883,3154.5,61.142,1.023,21.404,19.36,21.672,262.799,3169.504,4660.75,7573037.712,1624.854,0.398,135.232,4,226.484,19.36,21.672,1.082,90.528,0,2,13,26
1485,D,8,6,143.863,94245.523,0.934,66,216591.431,360.609,690101.888,0.942,130832.786,80,259409.702,0.635,2843.0,42.396,1.327,15.094,24.362,26.808,90.839,2855.713,4537.423,10007208.687,2205.483,0.422,135.211,3,256.263,24.362,26.808,1.121,109.369,0,1,13,26
1486,D,8,7,54.715,32095.943,0.956,36,49546.79,9.823,20049.616,1.14,28942.468,18,179056.813,0.844,2441.5,32.995,1.104,12.43,11.07,9.75,73.094,2449.692,5013.77,7622351.807,1520.283,0.205,182.917,6,305.458,11.07,9.75,1.047,128.447,0,4,13,26
