,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,2,1,60.102,27564.408,0.955,39,43890.592,438.667,1313625.439,1.061,155985.498,67,327828.16,0.715,1298.0,67.127,1.154,23.706,17.428,15.949,256.461,1278.275,17511.021,27544679.911,1572.991,0.426,128.069,4,215.325,17.428,15.949,0.83,82.803,0,2,1,0
1,B,2,2,51.546,25487.677,0.95,37,36151.755,753.54,2861568.457,0.987,239593.756,95,324779.354,0.847,1409.0,59.084,1.01,21.813,22.753,20.419,235.23,1380.686,13879.443,29851469.767,2150.769,0.416,136.34,3,254.76,22.753,20.419,0.973,106.878,0,1,1,0
2,B,2,3,12.041,6532.033,0.966,9,8576.667,615.909,2175078.364,1.032,58923.951,26,571411.514,0.938,3077.0,50.304,0.849,17.68,21.438,22.603,188.966,3023.886,20729.498,29515620.007,1423.846,0.558,120.127,4,179.02,21.438,22.603,1.027,73.633,0,0,1,0
3,B,2,4,16.478,9205.13,0.955,14,10585.896,656.68,2258661.525,1.131,120054.981,56,601480.656,0.883,2393.5,60.895,0.953,23.952,22.311,19.002,260.686,2307.296,13393.383,27017890.031,2017.257,0.45,224.02,8,237.251,22.311,19.002,0.741,84.33,0,0,1,0
4,B,2,5,146.293,62200.81,0.955,93,99263.745,408.881,1198908.631,0.998,152070.726,59,362173.383,0.921,1641.5,56.213,0.987,20.991,17.616,18.781,231.533,1564.238,11604.679,23895015.769,2059.085,0.4,124.228,2,254.194,17.616,18.781,0.996,114.646,0,0,1,0
5,B,2,6,2.852,1774.222,0.965,3,1686.645,510.493,1512474.773,1.201,44153.195,22,330493.752,0.878,1751.0,53.233,0.991,20.387,16.943,15.208,197.944,1669.631,12649.253,19274540.436,1523.769,0.419,135.9,5,213.692,16.943,15.208,0.841,85.698,0,1,1,0
6,B,2,7,1.268,462.417,1.033,1,586.122,348.99,964993.173,1.409,46692.991,24,285344.725,0.81,1318.5,58.888,1.078,23.532,12.25,11.375,223.506,1276.677,12325.024,19677465.718,1596.546,0.257,139.065,2,279.57,12.25,11.375,0.994,130.905,0,0,1,0
7,B,2,8,0.951,632.222,0.965,1,601.015,389.023,1192109.765,1.228,46923.733,23,574088.197,0.893,2903.0,52.585,0.925,19.96,17.882,18.026,196.465,2922.082,14638.448,18964256.218,1295.51,0.56,108.863,4,170.464,17.882,18.026,1.045,72.309,0,2,1,0
8,B,2,9,1.901,989.111,0.965,2,940.288,900.784,3228704.177,1.391,46020.772,23,485701.878,0.913,2050.0,57.06,0.892,20.674,12.569,9.425,236.498,2053.726,11634.543,30450106.004,2617.216,0.166,222.322,2,444.675,12.569,9.425,1.003,208.475,0,0,1,0
9,B,2,1,56.721,23396.059,0.958,34,37847.59,936.697,2960010.849,1.07,82357.154,42,318521.296,0.875,1257.0,61.133,0.988,22.717,20.62,20.62,260.264,1223.84,13269.409,26629043.822,2006.799,0.517,135.524,4,220.906,20.62,20.62,1.03,78.185,0,0,2,0
