,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,3,1,274.946,89776.768,0.836,86,347361.895,112.175,355341.244,0.952,169482.808,59,299744.269,0.775,1373.0,59.612,1.218,24.0,10.593,10.725,219.07,1368.261,12852.821,15422331.087,1199.918,0.256,120.686,2,242.93,10.593,10.725,1.004,113.768,0,0,1,1
1,B,3,2,157.489,48716.619,0.951,92,83477.007,129.709,458729.707,0.982,306794.694,100,303157.592,0.947,1468.0,52.677,0.972,18.332,24.808,27.3,209.141,1449.539,9419.069,23709558.196,2517.187,0.472,199.656,7,258.884,24.808,27.3,0.96,97.169,0,1,1,1
2,B,3,3,13.943,3524.47,0.924,6,8326.544,383.319,1440496.382,1.279,72865.785,28,335655.512,0.931,2233.0,45.386,0.882,16.656,11.37,11.118,152.63,2199.139,15456.003,23931767.06,1548.38,0.217,158.553,3,299.739,11.37,11.118,0.945,118.686,0,1,1,1
3,B,3,1,189.072,77591.742,0.905,85,202187.133,289.839,1066634.466,0.898,260358.642,87,350576.957,0.885,1480.0,57.279,1.044,21.29,22.75,24.555,231.111,1516.92,14006.258,22080540.966,1576.477,0.499,121.817,5,199.333,22.75,24.555,0.93,71.283,0,3,2,1
4,B,3,2,6.549,2294.356,0.941,5,3052.397,263.01,619466.011,1.259,139933.374,72,291941.105,0.875,1188.0,59.715,0.965,21.301,14.093,14.0,248.328,1175.627,8905.916,27388523.575,3075.318,0.177,259.778,4,466.773,14.093,14.0,1.202,199.976,0,2,2,1
5,B,3,1,156.75,50715.107,0.96,101,79622.164,23.132,95731.803,1.089,145784.763,41,340428.989,0.948,1176.0,62.665,0.942,21.238,22.81,28.871,296.177,1149.411,8355.046,30514718.842,3652.25,0.247,289.186,11,430.896,22.81,28.871,1.07,138.786,0,3,3,1
6,B,3,2,134.885,48712.265,0.924,60,126348.83,357.229,1618234.024,0.964,205884.501,61,306882.303,0.816,1519.0,56.03,1.095,22.032,14.033,14.482,203.859,1505.363,21101.908,25460981.534,1206.572,0.362,108.61,3,204.639,14.033,14.482,0.909,87.773,0,1,3,1
7,B,3,3,21.02,10604.344,0.922,17,13483.55,165.094,691675.83,0.983,205279.204,58,353172.836,0.869,1664.0,55.618,0.995,20.368,11.956,12.511,213.999,1650.345,15116.415,23292591.023,1540.881,0.236,159.609,4,286.717,11.956,12.511,1.012,132.611,0,0,3,1
8,B,3,4,6.232,3815.36,0.889,4,6611.168,434.02,1785998.827,1.337,73448.315,25,280660.186,0.922,1059.0,60.643,0.945,21.823,25.495,27.3,269.876,1039.96,9139.235,12390217.736,1355.717,0.77,60.11,2,148.757,25.495,27.3,1.008,58.947,0,0,3,1
9,B,3,1,102.458,42919.567,0.972,68,66015.981,221.605,795155.66,0.989,181606.847,64,321314.274,0.861,1429.0,58.605,0.999,22.172,14.0,13.332,235.336,1365.342,10058.557,21066278.484,2094.364,0.204,194.259,4,359.425,14.0,13.332,1.514,160.718,1,1,4,1
10,B,3,2,58.94,19493.289,0.888,31,36293.294,167.101,494117.57,1.034,98246.088,38,292044.303,0.809,1711.0,50.316,0.966,20.393,11.37,11.776,163.087,1790.722,15215.446,16405844.614,1078.236,0.262,119.12,3,227.261,11.37,11.776,0.904,98.061,0,1,4,1
11,B,3,3,4.119,1988.194,0.982,4,2088.977,223.506,645971.946,1.185,81771.726,34,313448.262,0.828,1522.5,56.971,1.029,22.258,9.905,7.537,213.788,1466.163,12731.818,22450398.683,1763.33,0.16,202.218,3,372.415,9.905,7.537,1.158,171.955,0,1,4,1
12,B,3,4,20.492,3685.968,0.84,5,17080.03,267.763,913345.893,1.361,45619.64,19,309780.802,0.824,1981.0,48.17,1.019,19.194,13.549,13.197,152.208,2035.248,18346.924,20239666.699,1103.164,0.429,87.629,2,179.735,13.549,13.197,1.435,81.679,0,0,4,1
13,B,3,1,52.708,21390.894,0.93,33,35172.596,196.043,625542.814,0.965,158170.356,63,315140.295,0.9,1604.5,53.264,0.987,19.726,14.535,11.395,203.226,1550.692,9627.778,12041696.377,1250.724,0.36,144.137,6,208.953,14.535,11.395,0.753,85.029,0,2,5,1
14,B,3,2,158.862,62812.969,0.958,98,102566.477,365.785,1063625.376,0.998,244892.646,104,334664.946,0.933,1311.0,59.669,0.95,21.334,17.266,13.883,264.383,1265.832,8871.353,26858683.411,3027.575,0.288,248.954,6,363.283,17.266,13.883,0.735,118.723,0,2,5,1
15,B,3,3,64.749,33409.307,0.996,42,55759.957,421.239,1383260.821,1.043,119450.754,50,334227.969,0.855,1416.0,58.055,0.959,20.881,14.439,14.926,229.421,1456.833,13620.733,23315758.207,1711.784,0.287,197.661,8,273.742,14.439,14.926,0.886,90.149,0,2,5,1
16,B,3,4,18.062,6874.183,0.898,9,14346.203,400.642,1151797.273,1.078,131802.954,62,314832.076,0.862,1510.0,55.483,0.978,20.62,11.749,12.869,211.148,1491.053,15910.572,25415402.078,1597.391,0.247,149.596,3,285.104,11.749,12.869,1.635,134.878,0,1,5,1
17,B,3,5,88.515,40280.355,0.937,41,97147.093,424.724,2117837.311,1.02,162605.243,59,352725.508,0.873,1705.0,55.145,1.018,21.403,14.991,13.469,211.359,1668.847,13711.108,18498593.182,1349.168,0.431,94.877,2,198.4,14.991,13.469,1.097,85.442,0,0,5,1
18,B,3,6,19.013,9598.781,0.807,10,17475.707,387.544,968399.63,1.067,107594.372,52,338799.699,0.905,1409.0,58.564,0.973,22.142,16.72,20.164,247.061,1371.322,11517.317,24013180.757,2084.963,0.314,181.445,6,288.847,16.72,20.164,1.056,126.567,0,0,5,1
19,B,3,7,45.842,23711.288,0.963,29,38517.473,363.778,1371092.533,0.957,165293.084,65,326041.909,0.781,1714.0,55.377,1.109,21.726,16.575,14.612,190.656,1710.106,14463.847,18672365.391,1290.968,0.426,105.623,3,195.122,16.575,14.612,0.887,68.608,0,1,5,1
20,B,3,8,166.89,61157.314,0.872,18,724742.655,351.631,1143751.274,1.064,35939.85,16,291985.891,0.848,1844.0,46.146,0.934,17.086,18.025,19.263,143.652,2032.59,15390.302,15737676.192,1022.571,0.598,65.927,2,146.616,18.025,19.263,1.003,62.161,0,0,5,1
21,B,3,9,0.951,522.222,0.965,1,496.445,334.203,903070.116,1.266,73295.345,39,331736.766,0.676,1767.0,59.987,1.306,24.555,11.419,11.375,193.508,1714.332,16508.783,22166758.348,1342.725,0.272,123.261,2,249.163,11.419,11.375,0.999,117.457,0,0,5,1
22,B,3,10,11.725,6669.938,1.052,9,8624.727,267.13,756295.534,0.902,145948.94,59,302682.273,0.915,1705.0,49.912,0.944,17.924,17.541,17.541,181.466,1667.979,15225.156,18021278.794,1183.652,0.478,95.258,3,176.469,17.541,17.541,0.85,70.228,0,1,5,1
23,B,3,11,8.873,3570.018,0.988,5,6431.92,168.369,387991.478,1.053,99553.688,52,336174.35,0.915,1320.0,59.833,0.929,20.271,14.934,15.824,260.792,1289.051,11612.221,19507197.671,1679.885,0.374,145.372,4,237.585,14.934,15.824,0.885,99.101,0,2,5,1
24,B,3,12,36.652,14908.836,0.941,20,27844.224,299.134,920078.109,0.974,199838.835,84,290287.521,0.91,1669.0,49.464,0.917,17.701,11.152,10.4,177.136,1638.785,13999.839,18985737.602,1356.14,0.23,142.193,4,271.951,11.152,10.4,0.859,103.402,0,2,5,1
25,B,3,13,0.951,654.556,0.965,1,622.246,282.234,607259.592,1.364,104969.028,57,292326.114,0.907,1246.0,57.662,0.916,19.854,22.753,23.727,240.089,1217.573,14709.207,21962867.247,1493.137,0.665,98.771,4,167.937,22.753,23.727,1.022,61.273,0,0,5,1
26,B,3,1,114.71,36122.546,0.882,56,72607.397,164.672,434810.462,1.106,147758.982,66,290901.951,0.75,1224.0,63.368,1.15,24.918,11.37,7.182,239.667,1213.777,12222.419,18500206.945,1513.629,0.226,168.823,4,290.075,11.37,7.182,0.909,102.406,0,2,6,1
27,B,3,2,17.217,10179.0,0.922,14,12428.235,266.707,773439.785,0.976,123108.144,50,297076.881,0.906,1657.0,49.791,0.912,17.078,16.077,14.898,178.72,1662.246,13603.195,20942219.743,1539.507,0.401,103.687,2,219.671,16.077,14.898,1.137,85.042,0,0,6,1
28,B,3,3,203.12,82715.057,0.841,40,615304.007,559.082,3842060.219,1.03,58744.448,21,372538.942,0.917,2517.5,45.602,0.91,17.248,10.412,8.331,151.68,2456.088,24278.801,24562655.108,1011.691,0.271,109.212,3,216.463,10.412,8.331,1.411,86.855,0,1,6,1
29,B,3,4,68.235,23218.582,0.933,33,47854.969,324.696,933330.759,0.889,130202.868,51,316947.565,0.77,1828.0,51.978,1.106,19.951,8.96,9.402,165.622,1913.675,19166.355,23793673.504,1241.429,0.17,146.348,2,302.703,8.96,9.402,1.47,139.535,0,0,6,1
30,B,3,5,23.66,8165.029,0.908,14,15527.425,141.223,317639.42,1.345,176474.172,87,272803.153,0.862,1143.0,59.306,0.994,21.654,16.081,11.554,241.145,1131.28,7131.432,25815274.963,3619.929,0.186,327.239,7,494.256,16.081,11.554,0.89,151.802,0,3,6,1
31,B,3,1,284.558,142683.915,0.867,109,446192.254,467.398,1418263.464,0.87,149943.88,65,317755.081,0.859,1545.0,54.901,1.059,21.435,13.65,8.878,206.077,1541.921,14403.526,20666633.436,1434.832,0.327,147.534,4,234.643,13.65,8.878,0.763,99.027,0,2,7,1
32,B,3,2,142.807,60435.162,0.93,66,144620.011,456.624,1864003.742,0.996,117483.156,51,294424.175,0.744,1731.0,52.858,1.19,20.812,17.927,18.971,165.517,1778.817,16720.06,19735975.452,1180.377,0.573,88.477,3,160.94,17.927,18.971,0.874,60.388,0,1,7,1
33,B,3,3,21.548,11048.581,0.916,17,13990.452,353.004,813468.563,1.007,129816.319,71,291945.119,0.857,1650.0,50.904,1.083,19.603,8.515,7.351,176.713,1652.084,14045.103,19357180.563,1378.216,0.192,175.039,4,300.397,8.515,7.351,0.921,118.427,0,0,7,1
34,B,3,4,108.479,50216.388,0.96,63,88122.041,779.102,3376366.973,0.954,204141.113,79,334285.007,0.77,1832.5,53.938,1.088,19.968,15.208,16.163,178.298,1874.87,14492.376,34597163.619,2387.266,0.187,247.355,7,400.104,15.208,16.163,0.87,116.629,0,3,7,1
