,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
1062,C,2,6,68.446,63840.317,0.834,35,136253.646,562.25,2832405.063,1.371,35965.756,13,328571.032,0.876,2703.0,41.626,0.978,14.492,13.591,11.454,120.837,2719.13,16138.545,22313990.716,1382.652,0.343,109.77,2,225.189,13.591,11.454,1.278,100.273,0,0,16,19
1063,C,2,7,235.23,216184.415,0.876,77,793031.509,392.297,2496783.034,0.979,130331.675,38,396034.414,0.575,2936.5,53.636,1.209,16.796,16.894,18.277,131.611,3009.135,13123.007,15806136.478,1204.46,0.421,125.341,6,189.626,16.894,18.277,1.028,70.322,0,2,16,19
1064,C,2,8,122.21,157927.506,0.805,31,524333.956,640.308,3815709.027,1.042,16427.728,5,317295.605,0.776,2681.0,43.721,1.084,15.869,14.534,13.474,117.985,2689.29,17658.988,26717963.978,1512.995,0.38,107.417,2,223.714,14.534,13.474,1.474,100.176,0,0,16,19
1065,C,2,1,94.958,74958.704,0.877,26,326365.76,13.309,39929.595,1.066,51698.235,18,426372.059,0.864,2700.5,47.92,1.01,17.086,13.975,14.95,157.806,2701.873,10320.969,10747973.627,1041.372,0.473,79.085,2,166.278,13.975,14.95,1.121,73.584,0,0,17,19
1066,C,2,2,241.674,85639.417,0.819,34,794804.135,222.45,912949.793,0.949,96232.232,30,482990.972,0.801,2964.5,49.98,1.032,17.275,9.574,8.833,159.285,3032.246,11486.069,13032562.676,1134.641,0.22,125.932,2,254.465,9.574,8.833,1.002,118.982,0,0,17,19
1067,C,2,3,317.091,414314.741,0.767,72,2248181.889,588.023,3809330.765,0.967,63643.346,19,412040.116,0.559,3007.0,54.889,1.537,19.777,17.985,17.107,133.935,3076.43,22470.43,23969721.333,1066.723,0.576,96.817,4,152.528,17.985,17.107,0.754,52.049,0,0,17,19
1068,C,2,4,341.174,385477.602,0.92,125,1244420.274,577.672,3679634.734,0.92,204548.663,54,351399.366,0.715,3387.0,42.339,1.137,15.504,14.025,11.819,102.035,3443.901,10959.934,18758729.384,1711.573,0.274,147.711,3,280.06,14.025,11.819,1.089,113.639,0,1,17,19
1069,C,2,5,17.745,10353.787,0.907,11,15890.78,30.737,105327.133,1.071,148490.059,47,294757.427,0.435,2571.0,57.478,1.703,17.924,16.903,14.95,114.394,2576.695,8750.112,19358299.572,2212.349,0.272,182.605,4,319.433,16.903,14.95,0.787,138.596,0,2,17,19
1070,C,2,6,348.99,367015.363,0.854,85,1909670.551,546.089,2910539.371,1.049,113664.118,33,518217.754,0.718,3043.5,54.541,1.38,21.557,15.377,16.415,169.848,3051.076,19825.698,26421522.229,1332.691,0.38,98.055,2,209.88,15.377,16.415,0.985,89.665,0,0,17,19
1071,C,2,7,362.194,290882.855,0.862,99,1207360.659,710.444,3039440.245,1.322,46206.24,16,617884.253,0.699,3040.0,60.205,1.287,23.195,17.289,19.263,201.641,3064.277,11614.512,22422246.452,1930.537,0.335,149.416,4,269.011,17.289,19.263,0.666,95.387,0,0,17,19
1072,C,2,1,215.478,194231.228,0.908,66,652897.248,528.978,1858531.863,1.268,162747.664,59,397469.88,0.561,2773.0,56.33,1.197,16.499,17.98,17.488,141.751,2804.003,7830.805,19001913.786,2426.56,0.301,174.952,4,318.405,17.98,17.488,1.328,126.683,0,2,18,19
1073,C,2,2,87.564,46191.876,0.887,18,238437.332,184.318,698570.817,1.014,20317.982,7,494588.031,0.768,2863.0,53.164,1.126,19.05,27.722,31.319,172.699,2863.865,10749.798,13793621.864,1283.152,0.819,78.054,3,140.295,27.722,31.319,0.932,49.602,0,1,18,19
1074,C,2,3,379.939,340319.233,0.837,124,1444373.934,259.419,1000535.568,1.087,260088.544,85,374520.92,0.476,2453.5,63.166,1.721,23.285,25.216,25.237,151.046,2479.515,9889.219,16683782.909,1687.068,0.485,154.388,7,209.036,25.216,25.237,0.901,72.036,0,3,18,19
1075,C,2,1,164.672,150484.604,0.773,30,963811.211,615.697,2267263.438,1.268,36603.584,17,471805.011,0.746,3110.0,50.205,1.222,19.548,17.225,17.927,149.673,3152.241,13516.026,22090054.858,1634.36,0.425,119.46,3,219.807,17.225,17.927,0.885,94.538,0,1,19,19
1076,C,2,2,469.933,1044691.275,0.899,213,2294672.057,1725.516,4897658.714,1.165,163395.042,80,270525.843,0.74,3096.0,38.428,1.085,12.983,18.61,19.53,86.931,3111.972,10454.874,37047481.519,3543.561,0.196,294.132,9,476.052,18.61,19.53,1.342,133.653,0,7,19,19
1077,C,2,3,246.11,180403.355,0.883,85,765057.048,407.507,2118588.739,1.095,113188.371,45,474970.956,0.72,3074.0,51.438,1.263,20.156,9.75,8.872,151.574,3133.588,13641.192,14460596.178,1060.068,0.241,116.799,2,235.251,9.75,8.872,1.015,106.276,0,0,19,19
1078,C,2,4,218.119,244942.819,0.987,91,674113.72,875.011,2852268.776,1.167,100981.034,47,331346.159,0.539,3340.0,47.995,1.888,19.266,12.063,10.114,98.761,3355.035,7611.291,24738489.887,3250.236,0.13,326.35,6,560.541,12.063,10.114,0.814,220.738,0,2,19,19
1079,C,2,5,321.95,258124.65,0.834,56,2500611.575,396.1,1573180.694,0.924,46865.075,19,467287.362,0.922,3085.5,45.213,1.009,16.228,11.495,11.844,149.99,3115.462,14390.084,16341256.282,1135.591,0.285,109.214,2,223.581,11.495,11.844,1.131,100.013,0,0,19,19
1080,C,2,6,156.644,178077.615,0.965,54,526574.613,884.095,2936624.49,1.29,49298.204,24,246684.55,0.716,2630.0,40.47,1.201,15.17,13.068,13.751,93.374,2641.9,9718.755,23253612.912,2392.653,0.199,205.438,3,389.025,13.068,13.751,0.992,178.68,0,1,19,19
1081,C,2,7,360.715,300355.123,0.792,89,1730118.244,576.087,3328438.911,1.021,68013.427,27,416698.037,0.832,3600.0,41.685,1.064,15.772,9.406,9.101,115.027,3622.6,15859.351,19115354.73,1205.305,0.204,136.288,2,272.606,9.406,9.101,1.206,128.268,0,0,19,19
1082,C,2,1,412.577,510014.994,0.902,128,1709924.871,286.248,794662.384,1.013,242326.508,99,467402.389,0.843,3065.0,47.753,1.077,17.947,13.153,12.902,152.947,3055.97,8149.273,14913011.422,1829.981,0.231,156.908,3,315.239,13.153,12.902,1.427,138.529,0,1,20,19
1083,C,2,2,110.169,121686.164,0.942,41,314063.432,411.204,1320993.633,1.303,64863.398,27,433885.912,0.578,3017.5,55.659,1.415,20.293,15.185,16.575,142.385,3047.28,8616.019,11452455.096,1329.205,0.365,130.711,5,213.787,15.185,16.575,0.915,90.92,0,1,20,19
1084,C,2,3,41.617,21941.541,0.917,19,53719.991,11.619,32630.693,1.147,58935.883,23,734993.187,0.853,3772.5,53.602,1.07,20.027,17.608,17.335,194.987,3769.453,9914.137,12341210.486,1244.809,0.492,122.147,5,178.378,17.608,17.335,1.342,74.792,0,1,20,19
1085,C,2,4,76.051,137992.836,0.958,30,352223.993,620.556,2547147.691,1.122,33755.236,13,402616.324,0.804,3223.0,43.963,1.124,17.174,21.174,11.07,123.583,3257.859,14246.586,19452784.664,1365.435,0.502,132.075,5,184.846,21.174,11.07,0.897,65.12,0,1,20,19
1086,C,2,5,285.086,333964.274,0.859,104,1088635.005,606.191,2851502.877,1.028,118159.294,40,275404.207,0.632,2926.0,43.198,1.214,15.094,16.503,15.93,93.902,2932.889,11722.729,14819158.61,1264.139,0.518,129.548,6,175.04,16.503,15.93,1.23,48.737,0,4,20,19
