,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,2,1,2.218,1356.528,0.999,2,1489.335,162.982,324431.103,1.061,102790.4,58,304999.403,0.808,1637.0,54.471,1.117,21.174,23.038,24.498,190.867,1597.966,9128.604,11289126.399,1236.676,0.697,81.832,3,149.307,23.038,24.498,1.069,59.637,0,1,1,0
1,B,2,2,11.091,6699.806,0.951,10,7491.46,216.323,597341.361,0.971,139886.206,62,320505.703,0.746,1632.0,58.015,1.169,21.632,12.832,10.731,199.845,1603.767,8500.6,12151136.187,1429.445,0.292,134.547,3,248.04,12.832,10.731,0.898,103.32,0,1,1,0
2,B,2,3,30.632,14802.086,0.987,21,21935.473,204.282,564087.789,0.999,198882.463,86,373912.722,0.903,1828.0,54.211,1.043,20.95,21.862,23.57,211.148,1770.86,9793.345,13417690.195,1370.082,0.579,103.946,4,172.398,21.862,23.57,0.799,69.014,0,2,1,0
3,B,2,4,71.404,37611.825,0.971,52,52274.28,331.984,1048722.838,0.995,210559.428,82,413823.199,0.855,2169.5,53.019,1.048,20.819,21.15,23.625,191.184,2164.527,9295.362,15379499.507,1654.535,0.537,126.844,4,196.683,21.15,23.625,0.996,65.186,0,2,1,0
4,B,2,5,71.087,31602.151,0.963,43,52200.341,205.866,591762.799,1.006,180663.122,77,377396.815,0.805,1871.0,56.121,1.045,20.58,13.553,13.553,201.747,1870.646,10517.22,13830679.789,1315.051,0.342,118.407,3,219.679,13.553,13.553,1.305,95.737,0,1,1,0
5,B,2,6,5.704,3768.889,0.992,5,4321.923,471.728,1498235.675,1.017,83660.424,37,496545.081,0.913,2741.0,49.979,0.927,18.883,14.765,13.153,181.466,2736.291,12247.762,17534664.091,1431.663,0.386,141.734,5,215.862,14.765,13.153,0.97,69.719,0,1,1,0
6,B,2,7,20.703,12291.333,0.92,15,17095.135,603.762,1910595.206,1.022,70648.07,37,485782.26,0.849,2167.0,57.628,1.0,20.719,16.786,17.008,224.351,2165.279,13414.237,21854266.957,1629.184,0.346,121.363,2,243.419,16.786,17.008,1.127,113.332,0,0,1,0
7,B,2,8,76.368,39327.531,0.949,45,69678.795,460.215,1728725.03,1.003,163828.993,75,144048.466,0.757,1602.0,39.048,1.191,14.488,15.869,16.885,91.895,1567.531,8859.567,12100904.514,1365.857,0.388,165.133,7,210.433,15.869,16.885,1.06,84.355,0,3,1,0
8,B,2,9,11.83,7727.0,0.96,10,9056.106,742.027,1738600.059,1.31,172900.367,101,1105126.906,0.927,2881.0,72.532,0.959,25.561,24.877,26.806,388.283,2846.187,11998.196,31006457.596,2584.26,0.447,157.205,4,269.402,24.877,26.806,0.891,99.343,0,0,1,0
9,B,2,10,46.476,20798.582,0.951,24,41543.992,536.161,2092732.407,1.171,84885.669,47,586877.675,0.902,2642.5,55.623,0.955,20.368,21.174,23.636,222.027,2643.271,16329.329,22063785.632,1351.175,0.633,118.816,5,163.715,21.174,23.636,0.993,65.385,0,1,1,0
10,B,2,11,12.675,6562.014,0.998,8,11749.796,569.644,1810541.481,1.011,43809.096,22,347144.516,0.883,2123.0,48.154,0.994,18.332,10.075,8.477,162.876,2131.34,11093.809,11832847.586,1066.617,0.25,127.594,3,231.703,10.075,8.477,0.887,103.52,0,1,1,0
11,B,2,12,104.676,55094.054,0.984,71,82094.988,634.393,2072504.071,1.015,309984.055,120,523171.853,0.78,1983.0,65.388,1.113,24.401,17.113,17.008,265.44,1970.964,13227.309,28309164.356,2140.206,0.287,151.633,2,305.931,17.113,17.008,1.7,145.489,0,0,1,0
12,B,2,13,108.162,50026.085,0.95,55,101460.883,474.263,1647217.748,1.006,164946.798,65,350933.764,0.769,1566.0,60.659,1.096,21.846,17.606,16.228,225.302,1557.618,10775.871,19663861.753,1824.805,0.405,118.396,3,238.023,17.606,16.228,1.058,105.069,0,1,1,0
13,B,2,14,13.837,8694.459,0.996,10,12118.855,500.987,1309596.841,1.383,37663.383,22,418323.525,0.933,2219.0,50.276,0.933,17.956,19.778,21.557,187.698,2228.7,18801.896,19089240.564,1015.283,0.715,73.48,3,133.625,19.778,21.557,0.921,52.997,0,1,1,0
14,B,2,1,1.479,779.929,1.051,1,1153.337,417.331,1097408.877,1.061,53507.909,29,367041.079,0.842,1837.0,54.884,1.081,21.105,25.977,27.392,201.747,1819.316,9645.167,18160879.43,1882.899,0.549,135.002,5,207.593,25.977,27.392,1.014,77.759,0,3,2,0
15,B,2,2,56.51,15924.373,0.89,14,75268.765,495.811,1760834.138,1.131,54548.799,29,283322.399,0.785,1674.5,52.117,1.096,20.73,15.41,14.951,169.636,1670.176,9910.118,13787033.3,1391.208,0.394,125.101,4,210.658,15.41,14.951,1.187,88.809,0,2,2,0
16,B,2,3,119.358,57683.512,0.923,64,108201.338,773.609,3361176.603,1.039,158543.474,61,596475.435,0.948,2961.0,51.364,0.937,17.978,16.228,16.607,199.106,2995.767,16994.755,30509485.151,1795.229,0.375,129.534,3,245.367,16.228,16.607,1.269,108.976,0,1,2,0
17,B,2,4,49.011,26607.609,0.935,34,38230.592,371.489,1006540.017,1.055,184044.941,87,607266.246,0.852,2968.0,54.342,1.096,21.618,18.455,19.145,200.162,3033.868,9848.68,18365146.879,1864.732,0.412,148.2,5,238.447,18.455,19.145,1.134,100.016,0,3,2,0
18,B,2,5,2.852,2083.778,0.965,3,1980.921,712.134,1661952.656,1.401,99570.81,58,300626.674,0.879,1546.0,52.176,1.031,19.131,29.663,27.374,190.339,1579.427,9545.318,18840969.292,1973.844,0.635,149.666,6,197.686,29.663,27.374,1.086,74.124,0,0,2,0
