,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,CHRONO_ORDER
3709,E,3,4,,,,,,,,,,,260117.611,0.889,1178.0,56.565,1.01,21.458,20.763,16.549,226.463,1148.608,7843.028,12270739.175,1564.541,0.471,122.649,4,204.351,20.763,16.549,1.278,82.05,0,0,10,13.837,8372.362,0.927,9.0,18612.672,195.937,327241.827,1.155,65713.624,46.0,38
3710,E,3,5,,,,,,,,,,,292672.569,0.967,2036.5,42.333,0.898,14.721,21.777,20.866,137.948,2121.61,9790.338,12343256.368,1260.759,0.646,98.064,4,156.662,21.777,20.866,0.755,56.548,0,0,10,45.314,13353.779,0.727,14.0,45803.067,173.861,396879.638,0.996,16041.611,10.0,38
3711,E,3,6,,,,,,,,,,,294982.623,0.786,1165.0,64.244,1.19,25.389,18.347,16.112,258.151,1142.673,8394.919,20207612.939,2407.124,0.343,189.488,5,296.928,18.347,16.112,0.761,122.37,0,1,10,25.667,15196.815,0.939,18.0,22566.169,400.114,837407.561,1.163,52893.888,37.0,38
3712,E,3,7,,,,,,,,,,,549827.144,0.947,1792.0,63.406,0.999,22.701,22.802,22.245,302.831,1815.621,12380.496,37495955.202,3028.631,0.397,171.942,4,309.561,22.802,22.245,1.008,138.136,0,2,10,208.084,112034.93,0.943,131.0,179922.211,480.601,1237345.828,0.981,256008.093,132.0,38
3713,E,3,8,,,,,,,,,,,298307.114,0.949,1416.0,53.583,0.956,18.535,21.216,21.301,216.851,1375.629,10167.238,16151915.982,1588.624,0.52,138.443,5,195.964,21.216,21.301,1.17,78.945,0,1,10,24.505,10065.897,0.872,12.0,21051.273,308.218,602915.487,1.117,70853.652,48.0,38
3714,E,3,9,,,,,,,,,,,515711.236,0.935,3274.5,45.591,0.912,15.873,11.707,9.125,154.637,3334.973,15585.146,16435718.03,1054.576,0.322,120.419,4,203.024,11.707,9.125,0.81,88.255,0,0,10,116.823,53138.577,0.885,61.0,104783.579,245.371,594719.076,1.174,40597.853,25.0,38
3715,E,3,10,,,,,,,,,,,321254.489,0.948,1106.0,62.389,0.981,22.444,30.764,32.948,293.536,1094.429,9083.575,30679917.764,3377.516,0.498,242.008,8,292.012,30.764,32.948,1.256,108.991,0,2,10,18.696,12579.629,1.058,14.0,16895.183,370.221,667832.107,1.206,77912.926,55.0,38
3716,E,3,11,,,,,,,,,,,546915.758,0.885,2101.0,60.508,1.102,22.972,21.061,22.33,257.729,2122.059,12131.667,27548106.859,2270.76,0.371,173.951,7,277.385,21.061,22.33,1.195,114.935,0,3,10,237.765,111839.06,0.916,131.0,207007.403,428.738,1292899.18,0.985,237893.811,111.0,38
3717,E,3,12,,,,,,,,,,,590726.391,0.913,2586.0,55.517,1.014,21.225,23.548,25.675,224.034,2636.771,13422.828,23198166.666,1728.262,0.461,128.78,4,217.075,23.548,25.675,0.87,75.676,0,2,10,89.888,50494.508,0.927,54.0,84392.155,390.396,989077.09,1.137,47446.029,31.0,38
3718,E,3,13,,,,,,,,,,,439433.526,0.865,2001.0,55.919,1.064,22.12,10.754,11.055,215.161,2042.344,16314.0,19654728.962,1204.777,0.247,122.563,2,247.57,10.754,11.055,1.091,114.241,0,0,10,56.721,35238.502,0.907,31.0,65019.183,363.567,1086946.459,0.971,39567.56,22.0,38
3719,E,3,14,,,,,,,,,,,284757.969,0.948,1292.0,53.715,0.956,19.002,14.701,14.251,217.696,1308.051,16067.669,26660890.66,1659.288,0.341,122.237,2,247.167,14.701,14.251,1.214,112.404,0,0,10,61.475,29683.478,0.915,30.0,63131.742,275.791,585387.706,1.159,111475.864,77.0,38
3720,E,3,15,,,,,,,,,,,287398.845,0.917,1723.0,46.493,0.967,17.289,12.862,11.991,157.7,1822.435,12891.126,13293746.377,1031.232,0.398,86.875,2,180.496,12.862,11.991,1.543,82.05,0,0,10,54.82,21426.594,0.895,25.0,48601.749,161.503,467251.554,1.007,41492.63,25.0,38
3721,E,3,16,,,,,,,,,,,557320.399,0.929,2188.0,58.652,0.973,21.956,17.381,15.308,254.349,2191.166,10112.677,13215368.916,1306.812,0.47,87.357,2,186.882,17.381,15.308,0.964,77.83,0,0,10,26.935,10879.491,0.956,15.0,19871.741,195.726,452107.554,0.98,35440.548,19.0,38
3722,E,3,17,,,,,,,,,,,75141.062,0.689,868.5,39.513,1.244,15.258,13.528,11.419,85.558,878.252,6866.198,9388401.152,1367.336,0.273,154.182,5,251.038,13.528,11.419,0.727,93.267,0,1,10,241.145,135413.365,0.827,76.0,666664.617,212.521,728943.318,0.906,139284.59,58.0,38
