,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,CHRONO_ORDER
613,B,10,5,,,,,,,,,,,352823.318,0.379,2612.0,66.465,2.246,18.228,32.879,23.457,133.195,2648.921,10706.572,14213133.793,1327.515,0.51,147.891,7,180.94,32.879,23.457,0.983,60.67,0,5,17,275.897,1327023.963,0.827,109.0,3481291.247,20.703,31996.088,1.021,20438.394,15.0,8
614,B,10,6,,,,,,,,,,,245021.143,0.429,2594.0,52.479,2.039,17.232,25.294,26.243,94.008,2606.396,9377.281,22993238.311,2452.016,0.466,167.061,5,257.203,25.294,26.243,0.921,103.734,0,3,17,392.931,1827448.13,0.821,167.0,4392600.553,205.444,364154.304,1.094,58847.298,46.0,8
615,B,10,7,,,,,,,,,,,416752.858,0.464,2483.0,67.501,1.586,21.011,18.507,19.002,168.158,2478.348,11427.353,17579218.124,1538.346,0.538,116.357,4,189.64,18.507,19.002,0.936,67.213,0,2,17,249.384,1135934.15,0.847,103.0,2898458.647,970.497,1768116.457,1.107,47342.512,39.0,8
616,B,10,8,,,,,,,,,,,430437.627,0.848,2407.5,51.534,1.036,18.539,16.465,17.98,179.143,2402.764,7236.259,22311122.426,3083.24,0.22,250.037,5,419.658,16.465,17.98,0.852,158.774,0,1,17,108.056,375149.069,0.861,39.0,1062507.213,834.661,1197263.286,1.259,213053.642,192.0,8
617,B,10,1,,,,,,,,,,,222283.859,0.462,2381.0,50.216,1.544,15.336,12.921,8.722,92.635,2399.579,9489.823,22280848.791,2347.868,0.167,264.525,6,420.534,12.921,8.722,1.128,172.227,1,2,18,209.141,1009456.267,0.9,100.0,2197819.028,764.525,1653763.11,1.139,56631.702,39.0,8
618,B,10,2,,,,,,,,,,,489351.699,0.837,3044.5,48.671,1.056,18.738,25.635,24.934,157.806,3100.968,10016.032,18304810.862,1827.551,0.513,139.498,5,211.585,25.635,24.934,0.799,78.383,0,3,18,121.999,586558.557,0.87,57.0,1313208.531,583.27,1486032.425,1.147,43613.416,29.0,8
619,B,10,3,,,,,,,,,,,254467.223,0.847,2644.0,37.671,1.09,13.812,11.844,12.43,95.698,2659.074,9694.623,17156262.768,1769.668,0.217,179.602,4,320.185,11.844,12.43,1.326,140.937,0,2,18,264.7,1350691.2,0.894,126.0,2954246.595,880.398,2337677.71,1.024,40620.985,24.0,8
620,B,10,4,,,,,,,,,,,403159.244,0.896,2821.0,44.608,1.018,16.285,21.595,20.424,141.962,2839.907,12844.807,16217270.107,1262.555,0.588,129.572,6,164.253,21.595,20.424,0.947,57.543,0,2,18,69.819,290650.853,0.842,34.0,610180.061,1085.841,4427359.621,1.095,8153.41,4.0,8
621,B,10,5,,,,,,,,,,,161418.229,0.69,2098.5,37.515,1.193,13.031,22.076,23.096,77.319,2087.701,8112.721,25161712.267,3101.513,0.337,193.855,5,339.996,22.076,23.096,1.025,150.448,0,1,18,110.274,446913.983,0.905,55.0,872942.562,661.962,1312753.175,1.079,141594.687,98.0,8
622,B,10,1,,,,,,,,,,,444670.386,0.682,2882.0,53.36,1.229,19.671,19.229,21.752,154.532,2877.535,8250.462,18858570.272,2285.759,0.301,173.052,4,309.154,19.229,21.752,1.14,130.771,0,2,19,46.37,199454.183,0.894,18.0,530410.654,759.35,1160693.567,1.363,126064.643,125.0,8
