,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,CHRONO_ORDER
62,B,3,8,526.232,1260198.756,0.699,86.0,8706593.38,1.584,175.34,1.536,1553.0,14.0,421628.686,0.932,1399.0,63.356,1.032,23.375,19.503,18.442,297.55,1417.001,2686.526,6120887.444,2278.365,0.368,171.563,4,278.91,19.503,18.442,0.7,105.487,0,2,6,,,,,,,,,,,1
63,B,3,9,408.247,1104416.181,0.737,70.0,7153198.129,1.056,118.83,1.571,1125.0,10.0,242893.507,0.852,907.0,62.544,1.095,23.265,20.153,18.525,265.334,915.426,2700.355,7174942.206,2657.037,0.279,185.112,3,346.082,20.153,18.525,0.883,148.467,0,1,6,,,,,,,,,,,1
64,B,3,1,250.758,327416.473,0.711,24.0,3823352.166,1.901,205.338,1.498,1616.0,15.0,262309.785,0.836,940.0,65.965,1.061,25.402,16.73,17.046,289.522,906.008,2296.191,2608990.26,1136.225,0.468,102.525,4,174.638,16.73,17.046,1.025,68.538,0,2,7,,,,,,,,,,,1
65,B,3,2,456.941,733726.319,0.752,56.0,6735769.789,1.69,192.874,1.461,1101.833,10.0,270003.203,0.947,955.0,62.113,0.984,22.396,23.16,25.563,290.79,928.516,2388.133,5124465.925,2145.804,0.397,146.659,4,260.471,23.16,25.563,0.712,80.225,0,2,7,,,,,,,,,,,1
66,B,3,3,360.081,746299.364,0.596,44.0,7073653.283,1.162,128.231,1.504,994.0,9.0,359567.998,0.897,1253.0,64.512,1.036,24.547,22.512,23.282,296.916,1211.008,2607.654,4646907.329,1782.026,0.465,139.964,6,219.498,22.512,23.282,0.697,76.818,0,2,7,,,,,,,,,,,1
67,B,3,4,519.155,830328.939,0.66,55.0,8211807.193,0.634,71.192,1.571,674.0,6.0,430175.25,0.916,1298.0,68.146,1.007,25.339,15.786,12.433,338.322,1271.497,2510.349,5469447.843,2178.76,0.205,236.815,7,365.032,15.786,12.433,0.624,104.342,0,3,7,,,,,,,,,,,1
68,B,3,5,270.298,685301.787,0.602,37.0,5132884.153,1.268,137.631,1.478,978.25,9.0,244397.946,0.737,960.0,66.041,1.086,22.452,16.312,18.85,255.828,955.323,2740.815,4149155.253,1513.84,0.409,147.067,5,215.579,16.312,18.85,0.833,87.687,0,3,7,,,,,,,,,,,1
69,B,3,6,333.463,1093158.59,0.705,62.0,6508273.047,0.951,106.788,1.388,666.0,6.0,358171.931,0.794,1314.0,66.554,1.034,24.463,15.009,12.715,279.699,1280.561,2971.052,3956669.182,1331.74,0.352,128.552,4,218.134,15.009,12.715,0.803,91.107,0,0,7,,,,,,,,,,,1
70,B,3,7,508.803,994753.3,0.77,73.0,7349605.164,1.268,140.695,1.526,1217.0,11.0,366654.169,0.86,1048.0,72.049,1.048,28.008,18.78,19.299,355.222,1032.183,2737.232,7988797.468,2918.568,0.19,317.926,10,439.298,18.78,19.299,0.826,114.585,0,6,7,,,,,,,,,,,1
71,B,3,8,170.904,382695.176,0.911,24.0,2617954.155,1.162,126.541,1.434,866.833,8.0,249666.917,0.846,1092.0,59.616,1.062,23.43,15.625,18.179,239.244,1043.565,2469.91,3662869.049,1482.997,0.394,97.835,2,217.389,15.625,18.179,0.808,95.172,0,0,7,,,,,,,,,,,1
