,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,CHRONO_ORDER
4713,F,2,5,389.868,1195661.912,0.777,47.0,10504852.284,0.528,63.059,1.571,597.0,5.0,253038.517,0.74,1267.5,57.223,1.146,22.506,14.318,16.077,192.874,1311.936,3497.717,4191431.449,1198.334,0.326,118.218,4,214.919,14.318,16.077,1.175,81.576,0,2,10,,,,,,,,,,,49
4714,F,2,6,348.568,347679.913,0.83,25.0,6236294.944,0.634,69.08,1.571,654.0,6.0,386458.097,0.759,1851.5,59.99,1.245,24.934,9.402,10.214,217.38,1777.804,3072.905,4445779.208,1446.767,0.165,168.057,2,331.821,9.402,10.214,1.174,153.954,0,0,10,,,,,,,,,,,49
4715,F,2,7,226.358,543047.466,0.846,33.0,4287393.412,0.423,47.426,1.407,338.0,3.0,377078.139,0.786,1501.0,64.468,1.182,26.062,15.479,11.418,260.053,1450.007,3131.664,3678351.054,1174.568,0.431,111.84,4,185.101,15.479,11.418,0.764,73.061,0,0,10,,,,,,,,,,,49
4716,F,2,8,366.102,1131148.322,0.695,57.0,8451116.895,0.211,23.238,1.078,110.0,1.0,260406.711,0.748,1434.0,54.911,1.201,21.726,12.43,14.226,179.565,1450.207,3578.332,6770521.992,1892.089,0.203,177.727,3,341.945,12.43,14.226,0.989,146.187,0,1,10,,,,,,,,,,,49
4717,F,2,1,412.261,824991.856,0.687,57.0,6468438.833,373.39,65401.235,1.288,92542.907,564.0,275538.459,0.676,1220.5,64.59,1.399,24.808,11.035,9.156,224.562,1227.003,2421.715,5194991.0,2145.17,0.157,210.343,2,414.654,11.035,9.156,1.049,196.687,0,0,11,,,,,,,,,,,49
4718,F,2,2,361.454,809783.802,0.772,59.0,5258259.634,261.215,44317.218,1.329,111996.358,690.0,322792.096,0.782,1186.0,65.89,1.261,26.133,19.783,21.206,270.193,1194.673,2723.223,5610798.711,2060.352,0.397,139.171,4,255.49,19.783,21.206,1.036,106.466,0,2,11,,,,,,,,,,,49
4719,F,2,3,69.185,327598.303,0.871,23.0,1079524.501,149.145,24541.703,1.3,89997.141,555.0,246998.472,0.905,1312.0,51.961,1.03,19.854,12.433,12.198,194.459,1270.186,3024.973,3906421.454,1291.391,0.315,111.182,2,226.907,12.433,12.198,1.456,102.437,0,0,11,,,,,,,,,,,49
4720,F,2,4,45.208,324600.324,0.892,18.0,868039.693,182.628,30557.665,1.305,82511.323,508.0,389723.12,0.908,1572.0,58.909,1.015,22.036,23.4,23.458,250.652,1554.838,2995.517,3302964.947,1102.636,0.674,101.181,5,143.405,23.4,23.458,0.932,53.298,0,1,11,,,,,,,,,,,49
4721,F,2,5,228.998,821281.696,0.839,64.0,3110927.05,259.841,43128.919,1.366,162576.449,1006.0,361330.166,0.908,1178.0,65.215,1.03,23.631,18.025,18.379,307.268,1175.946,2634.66,6836196.483,2594.717,0.279,182.852,4,341.763,18.025,18.379,0.881,145.461,0,2,11,,,,,,,,,,,49
4722,F,2,6,287.516,1279278.181,0.766,47.0,6860009.996,261.954,48514.501,1.264,47770.546,291.0,278703.242,0.841,1201.0,58.043,1.092,22.122,9.24,8.034,225.407,1236.444,4247.47,4820249.849,1134.852,0.207,140.873,4,262.707,9.24,8.034,1.052,119.055,0,0,11,,,,,,,,,,,49
4723,F,2,1,38.765,234982.226,0.843,16.0,619139.942,2.958,330.611,1.507,2544.0,23.0,217992.145,0.81,865.0,63.069,1.092,23.732,19.061,20.678,256.25,850.701,2408.871,4969229.809,2062.887,0.283,139.491,2,302.623,19.061,20.678,1.728,133.31,0,0,12,,,,,,,,,,,49
4724,F,2,2,300.508,751881.426,0.735,54.0,5017259.907,2.429,279.171,1.376,1502.9,13.0,210294.924,0.772,1194.0,53.292,1.271,21.435,9.182,9.894,174.495,1205.162,3023.081,4388382.778,1451.626,0.158,170.747,2,340.125,9.182,9.894,1.107,149.833,0,0,12,,,,,,,,,,,49
4725,F,2,3,374.024,1137011.087,0.793,58.0,7420743.19,0.845,94.43,1.571,894.0,8.0,213101.423,0.653,1179.0,59.432,1.554,26.133,10.754,9.966,183.473,1161.484,3233.773,6669541.921,2062.465,0.151,206.853,2,414.775,10.754,9.966,1.415,195.368,0,0,12,,,,,,,,,,,49
4726,F,2,4,14.576,59869.234,0.833,5.0,179841.829,2.007,226.147,1.453,1224.333,11.0,203474.721,0.744,820.0,65.185,1.112,24.926,16.077,15.234,251.708,808.376,2469.324,3325013.018,1346.528,0.462,94.272,4,191.31,16.077,15.234,1.007,51.237,0,0,12,,,,,,,,,,,49
